,TANK
0,2.08023668123243
1,2.630407287289067
2,5.047781621489811
3,3.468502261561202
4,1.9941270664742805
5,2.500606079770213
6,4.321736118183167
7,4.699886799516197
8,0.7277793564333627
9,3.807217188908116
10,1.9697686831428909
11,4.7026311423677605
12,0.9504608182470595
13,3.571291786206007
14,4.054814475167662
15,3.719258056381705
16,4.694373488974139
17,1.2296931560192572
18,2.6359750315745782
19,1.8847627667267193
20,3.1838411037297063
21,4.057362430149257
22,1.0986733423345052
23,5.170248488616648
24,2.7707013190528045
25,4.795422127847699
26,4.153435801873551
27,1.824133170098642
28,5.024334219146693
29,1.6902107230601877
30,3.2184923482605865
31,1.6931521614678382
32,4.497884404674674
33,1.8681023344678898
34,1.884231526856437
35,3.7691270582635887
36,4.482676601671438
37,1.2699288215830518
