DMA1_pat,DMA2_pat,DMA3_pat,DMA4_pat,DMA5_pat
0.411676731,0.387819679,0.372935518,0.401050411,0.379876102
0.322356703,0.334233778,0.335523518,0.358940749,0.32154471
0.336923961,0.353484231,0.388855656,0.323826396,0.334012095
0.370932497,0.403208791,0.339735463,0.341608943,0.348214369
0.386109197,0.427521085,0.400825619,0.421490184,0.427587343
0.449464467,0.49718433,0.501802929,0.520995291,0.453997825
0.575701101,0.628521735,0.666204631,0.577839699,0.676480596
0.737944985,0.695015722,0.733339405,0.608664011,0.689502324
0.773874457,0.740714397,0.783557287,0.621729983,0.733499077
0.686673966,0.720060188,0.686373403,0.569520485,0.643720032
0.637626271,0.573180582,0.611058069,0.654361639,0.652177614
0.616227504,0.624664415,0.583199706,0.564709656,0.60192988
0.559952281,0.575339727,0.54944138,0.478166116,0.560747096
0.488577013,0.493072223,0.463967053,0.475403808,0.486745358
0.504077457,0.495138422,0.583617154,0.559775609,0.55640908
0.577225408,0.571046714,0.545837442,0.539862471,0.538868731
0.644320575,0.622963726,0.578849884,0.592287,0.531496234
0.573933008,0.54139358,0.549221864,0.627429098,0.463556408
0.516802595,0.54764474,0.579962645,0.500342313,0.5626328
0.579095669,0.57370577,0.550208585,0.513281645,0.615738306
0.51394312,0.542253744,0.517450627,0.563829085,0.493721302
0.496923047,0.50538402,0.471641035,0.506490618,0.434644967
0.407608398,0.459909741,0.398274202,0.407512004,0.407650816
0.562045302,0.565139323,0.506812393,0.498718843,0.512133835
0.471239549,0.447240104,0.460192355,0.444530929,0.441560631
0.332903138,0.372293284,0.347946255,0.316588368,0.366442257
0.351422197,0.393846654,0.348182051,0.340658817,0.346541766
0.3608102,0.374452134,0.351135395,0.346221123,0.355719494
0.394913027,0.434741952,0.400074929,0.442742648,0.429944463
0.509873977,0.515623951,0.523464821,0.513834046,0.550945648
0.677777151,0.731510611,0.676266044,0.672166703,0.713699099
0.777194477,0.822779041,0.774163751,0.769194114,0.779699407
0.669792118,0.762138195,0.686880297,0.7003031,0.767473545
0.67257247,0.653920055,0.7116139,0.61363515,0.664558263
0.68241405,0.67554928,0.738938823,0.605141711,0.669195274
0.578182599,0.647160782,0.556001906,0.64321365,0.605149761
0.556982033,0.562149139,0.554637507,0.520902064,0.571576314
0.50998551,0.540061466,0.519176847,0.45829733,0.484603404
0.543916587,0.539648203,0.516360173,0.438258294,0.520342106
0.545535884,0.565030457,0.50669316,0.513115557,0.498492372
0.549572575,0.573454526,0.617070548,0.54430169,0.627476305
0.555790478,0.638002812,0.513267875,0.537035084,0.54431522
0.626439019,0.649949316,0.565249267,0.542793921,0.594038105
0.657140237,0.582226205,0.575924337,0.557459025,0.550311991
0.612955058,0.550405979,0.499147072,0.505809914,0.525963902
0.474496117,0.421924745,0.469375235,0.440652189,0.493779562
0.447826872,0.415814814,0.408574911,0.438027166,0.389514232
0.525881157,0.521200052,0.496253679,0.501271367,0.486043791
0.461619421,0.473565217,0.415078438,0.440840482,0.398272536
0.35406386,0.345136265,0.367424903,0.335647915,0.357476184
0.337775464,0.346747555,0.36454184,0.341519341,0.35335756
0.338090091,0.362222953,0.386791653,0.381833292,0.372114642
0.4003523,0.406769434,0.448720974,0.404396451,0.401562584
0.536378184,0.523079462,0.489697506,0.502173551,0.489588056
0.722084154,0.695566745,0.714712953,0.638302773,0.702354875
0.695944226,0.808225548,0.769015415,0.704904573,0.829232886
0.683326466,0.842385182,0.688528611,0.710080534,0.829211774
0.680432351,0.781768755,0.714998546,0.695022333,0.646667637
