iteration,timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
0,2020-08-18 13:05:54.747192,3.0,,0.01504425,0.008609582,0.0217867,0.06241494,0.0,0.0,0.0,0.0,,,0,1,0,0
1,2020-08-18 13:05:54.795217,2.8736332438861893,59.0,35.94907941737716,19.9014002938734,22.882486745721465,27.186863849716907,23.047652215559452,23.047652215559452,2.9900865456667987,2.9900865456667987,0.0,0.1177743303463087,0,1,0,0
2,2020-08-18 13:05:55.437273,2.7476167472636917,59.0,35.83151203820954,19.826784929104527,22.784957227055813,27.068507084079265,22.950136463162195,22.950136463162195,2.9900601253501975,2.9900601253501975,0.0,0.11794371490885729,0,1,0,0
3,2020-08-18 13:05:56.059503,2.621999633332237,59.0,35.71379498267767,19.74626968978231,22.687169824301805,26.950020040669934,22.85236287289942,22.85236287289942,2.9900336163217816,2.9900336163217816,0.0,0.11811346017979112,0,1,0,0
4,2020-08-18 13:05:56.647798,2.496755258034483,59.0,35.72324426109,20.256336223813086,22.9210377990305,26.967513789579108,23.08619783009715,23.08619783009715,2.990096983793883,2.990096983793883,0.0,0.11770735274594442,0,1,0,0
5,2020-08-18 13:05:57.244683,2.379183133503929,59.0,35.609917371816834,20.143580905245322,22.826260298096543,26.85342537036491,22.991433703089214,22.991433703089214,2.9900713164636556,2.9900713164636556,0.0,0.11787199233968057,1,1,0,0
6,2020-08-18 13:05:57.845245,2.2618035832341263,59.0,37.10512107319852,21.75607294749623,35.03861215040024,27.784203690200677,35.211342545508515,35.21707467073314,2.9755678359396853,2.9712623593968814,0.09583098476103538,0.09584976074954082,1,1,0,0
7,2020-08-18 13:05:58.429346,2.2307560369159916,59.0,37.075603767618276,21.726177595094434,35.02082384361384,27.753608111786285,35.19356241210268,35.199298217328234,2.9755521494368153,2.971243908817428,0.09586420136994009,0.09588298708862478,1,1,0,0
8,2020-08-18 13:05:59.023570,2.199786207028609,59.0,37.10861488602343,21.98175817493911,35.10652833083499,27.75190484680636,35.27922753266486,35.284945613357394,2.9756277026549967,2.9713327750667773,0.09570412504304955,0.0957228638857578,1,1,0,0
9,2020-08-18 13:05:59.629988,2.1742664992274285,59.0,37.08432351852207,21.957125739187497,35.091900387128874,27.726699782121692,35.26460630571296,35.27032741057228,2.975614811736449,2.9713176126736016,0.0957314534629469,0.09575020030563192,1,1,0,0
10,2020-08-18 13:06:00.243450,2.1488107313380453,59.0,37.060092821632026,21.93255428601369,35.077309865832405,27.701557150458974,35.25002248493158,35.255746606646014,2.9756019519843306,2.971302486938704,0.09575870918898625,0.0957774640114941,1,1,0,0
11,2020-08-18 13:06:00.846588,2.1234187332809995,59.0,37.03592263467907,21.90804365682633,35.06275666315214,27.676476789324745,35.23547596656745,35.24120309784347,2.9755891233215195,2.971287397771377,0.09578589243774187,0.09580465521997285,1,1,0,0
12,2020-08-18 13:06:01.424528,2.0980903354835476,59.0,37.36396058226319,27.265682197855078,35.56528273199464,27.782704690858417,35.73777176858074,35.7433952239367,2.976031055646409,2.971807201869048,0.09484564059924487,0.09486412871028857,1,1,0,0
13,2020-08-18 13:06:01.990932,2.1229393314838063,59.0,37.38748595692526,27.28985540720536,35.57943436257317,27.80725512679465,35.75191693089775,35.75753747396537,2.976043469652012,2.9718218033166863,0.09481911399626562,0.09483759437769297,1,1,0,0
14,2020-08-18 13:06:02.581049,2.1477262636134924,59.0,37.41095354722037,27.313968752202705,35.593552057351886,27.831744819083333,35.766028173817176,35.77164581198136,2.976055852178078,2.97183636773795,0.09479264835878802,0.09481112102943053,1,1,0,0
15,2020-08-18 13:06:03.176412,2.1724512745138753,59.0,37.43436348175065,27.33802236833271,35.60763588797066,27.8561739049182,35.78010556893999,35.78572030956806,2.9760682032993415,2.971850895220726,0.0947662435702882,0.09478470854893618,1,1,0,0
16,2020-08-18 13:06:03.792544,2.197114506553575,59.0,37.875876094571794,27.55579348804263,35.98438448165845,28.006886293256066,36.15668233998578,36.16221971865804,2.9763979684357054,2.9722387675154067,0.09405892293029962,0.09407718225426655,1,1,0,0
17,2020-08-18 13:06:04.398963,2.24157341197575,59.0,37.917378367598715,27.59871264581033,36.009350247608154,28.05047795501182,36.181636742378856,36.18716900468574,2.976419777579146,2.9722644196002435,0.09401198421284314,0.0940302299163031,1,1,0,0
18,2020-08-18 13:06:04.995535,2.2859224956948765,59.0,37.95878076316086,27.6415270970162,36.034258506581324,28.093963460283483,36.20653366676545,36.2120608257502,2.9764415311226387,2.9722900062882687,0.09396514525888133,0.0939833773741386,1,1,0,0
19,2020-08-18 13:06:05.627024,2.330161991129799,59.0,38.00008348310364,27.68423705936707,36.059109363358075,28.137343028834046,36.231373217859854,36.2368952865361,2.9764632291924897,2.9723155277280284,0.09391840592203132,0.09393662448132711,1,1,0,0
20,2020-08-18 13:06:06.241398,2.374292131356839,59.0,37.95855172077002,29.693974440901492,36.031093936567075,28.274121304191546,36.20337053664453,36.20889834393168,2.9764387676533417,2.9722867558740447,0.09397109656543312,0.09398933040700674,1,1,0,0
21,2020-08-18 13:06:06.857758,2.4291235265625346,59.0,38.00974810644972,29.747161550600687,36.061934402112215,28.3276713665529,36.23419697156308,36.23971846165365,2.976465695485423,2.9723184286011204,0.09391309207999941,0.09393130909831574,1,1,0,0
22,2020-08-18 13:06:07.475872,2.4838192096894716,59.0,38.0608217513595,29.800218854540965,36.092704868792396,28.381091040463467,36.26495344373113,36.27046863288491,2.976492554005837,2.972350019803706,0.09385520647189319,0.09387340670655767,1,1,0,0
23,2020-08-18 13:06:08.101187,2.538379458878836,59.0,38.111772892288755,29.85314661149608,36.1234054545569,28.4343805851881,36.29564007101747,36.30114897545802,2.976519343369013,2.9723815296634157,0.09379743959279604,0.09381562308334113,1,1,0,0
24,2020-08-18 13:06:08.717513,2.592804551924786,59.0,37.93962475294276,28.247650558837144,35.86593376100571,28.304613594818015,36.03828557220237,36.043847242788786,2.976294421111298,2.9721169743475997,0.0942815108298184,0.0942998347893362,1,1,0,0
25,2020-08-18 13:06:09.326926,2.622843434361883,59.0,37.96796227523693,28.276844762274898,35.88302056004666,28.334227858354858,36.05536458452322,36.0609227491921,2.976309365525765,2.9721345520836664,0.09424941360613358,0.09426772824052505,1,1,0,0
26,2020-08-18 13:06:09.960320,2.652807219468272,59.0,37.996230323305824,28.305966686261918,35.900066681618,28.36376888653998,36.07240293921795,36.07795760690351,2.976324271856164,2.972152085025087,0.09421738889721978,0.094235694229119,1,1,0,0
27,2020-08-18 13:06:10.554508,2.6826960769073906,59.0,38.024429048312925,28.335016491265797,35.917072208573245,28.393236841533174,36.08940071909342,36.0949518987089,2.976339140192124,2.9721695732772844,0.0941854365729962,0.0942037326249892,1,1,0,0
28,2020-08-18 13:06:11.162347,2.712510176038279,59.0,38.478781262734074,28.511222033466915,35.9844358820187,28.502335132569506,36.156733716947386,36.16227108508457,2.9763980133427737,2.9722388203354484,0.09405882630010771,0.09407708559603117,1,1,0,0
29,2020-08-18 13:06:11.885250,2.7543814674234,59.0,38.51780859669971,28.55172847560211,36.00807290191075,28.543426240514286,36.18035997801708,36.185892502066466,2.976418661869296,2.9722631072935926,0.0940143859838965,0.09403263238421182,1,1,0,0
30,2020-08-18 13:06:12.467886,2.7961487825714357,59.0,38.556741360923894,28.592135525703007,36.031655006591706,28.58441670097492,36.203931351376454,36.20945904371979,2.976439257615688,2.9722873321715895,0.09397004142430308,0.0939882749598041,1,1,0,0
31,2020-08-18 13:06:13.085220,2.837812345526004,59.0,38.59557974976431,28.632443393444625,36.05518229833355,28.625306725384725,36.22744793923454,36.232970812225204,2.976459800702848,2.972311495111633,0.09392579247519706,0.09394401317661652,1,1,0,0
32,2020-08-18 13:06:13.696705,2.8793723799887943,59.0,38.59648213105821,30.597069780554072,35.9286394296128,28.826544962813976,36.10096267128358,36.10651147863531,2.9763492522633257,2.9721814671740177,0.09416370027015677,0.09418199001017086,1,1,0,0
33,2020-08-18 13:06:14.309156,2.939032472595329,59.0,38.651964566209756,30.655005519282305,35.96235368213188,28.88470098382799,36.1346615704486,36.14020346505626,2.9763787186984985,2.97221612582441,0.09410033658993022,0.09411860793395711,1,1,0,0
34,2020-08-18 13:06:14.953172,2.9985443142874004,59.0,38.707313719634456,30.712799973257766,35.99599180597794,28.94271496832601,36.16828438070233,36.17381938046775,2.9764081088220564,2.9722506947169975,0.09403710077236618,0.09405535376363976,1,1,0,0
35,2020-08-18 13:06:15.586096,3.0579082042302304,59.0,38.7625298191588,30.770453446252994,36.029553911098844,29.000587194515127,36.20183121191097,36.20735933469928,2.97643742279066,2.972285174036031,0.09397399269642899,0.09399222737811307,1,1,0,0
36,2020-08-18 13:06:16.200738,3.117124441305833,59.0,38.39988045896129,29.22450098285008,35.48031911177716,28.75900654054532,35.65284700133378,35.6584879499588,2.9759564883153615,2.9717194952100385,0.09500484537832854,0.09502337990271104,1,1,0,0
37,2020-08-18 13:06:16.796949,3.1309726966369453,59.0,38.41302790360095,29.23807502276913,35.488331197385264,28.772752144753788,35.66085542172408,35.66649472011143,2.9759635226684225,2.9717277690692043,0.09498983641495469,0.09500836656209431,1,1,0,0
38,2020-08-18 13:06:17.409560,3.1447858357310565,59.0,38.42614234018626,29.251614829948714,35.496323443419115,28.786463102419084,35.66884401190116,35.674481664265556,2.975970539055595,2.971736021796765,0.094974863771548,0.0949933895523783,1,1,0,0
39,2020-08-18 13:06:18.026502,3.158563943565838,59.0,38.439223847079035,29.265120486403994,35.50429589562661,28.800139496451415,35.67681281758992,35.68244882813572,2.9759775375210182,2.971744253444676,0.09495992736845729,0.09497844879388612,1,1,0,0
40,2020-08-18 13:06:18.627396,3.172307104932571,59.0,38.419193208483705,25.369624965777867,35.34039703768008,28.76684075688592,35.51298898226169,35.5186587711903,2.9758335527381092,2.971574897460883,0.09526682350754705,0.09528543449084571,1,1,0,0
41,2020-08-18 13:06:19.248543,3.1572768295710176,59.0,38.40493917814392,25.355022426217552,35.331708721986786,28.75192971763311,35.50430464687247,35.509976227903365,2.97582591366551,2.9715659123266107,0.09528308226408265,0.09530169799597063,1,1,0,0
42,2020-08-18 13:06:19.854762,3.1422845945760116,59.0,38.39072112300627,25.340456565980254,35.323042660104136,28.737056149622923,35.49564255543339,35.501315924126914,2.9758182935173565,2.971556949451447,0.09529929838759879,0.09531791885602402,1,1,0,0
43,2020-08-18 13:06:20.468316,3.1273303002001853,59.0,38.37653894916377,25.325927290245282,35.314398792240056,28.722219955906063,35.48700264817715,35.4926778001048,2.9758106922460854,2.9715480087794433,0.09531547199786304,0.09533409719080535,1,1,0,0
44,2020-08-18 13:06:21.076524,3.112413846976395,59.0,39.97053153578625,21.711627147604467,36.23935542754491,28.839062887666664,36.41153736397497,36.41702254957285,2.976620447832765,2.9725004495328875,0.09357915069538897,0.0935972709595222,1,1,0,0
45,2020-08-18 13:06:21.675665,3.1449840120664447,59.0,40.00040767476541,21.74289235141483,36.25764193297351,28.871144880124454,36.42981556676149,36.43529701414789,2.976636382412849,2.9725191919124896,0.09354470766190431,0.09356281795642817,1,1,0,0
46,2020-08-18 13:06:22.298919,3.177473591417666,59.0,40.03021116970655,21.77408099649991,36.27588545912249,28.903148397244358,36.44805081128811,36.45352852992683,2.9766522766514214,2.9725378868422467,0.09351034105929548,0.09352844140814388,1,1,0,0
47,2020-08-18 13:06:22.910260,3.2098827638561005,59.0,40.05994217650361,21.80519324963536,36.294086091473545,28.93507360952139,36.46624318298758,36.47171718232043,2.976668130642416,2.972556534432627,0.09347605075558586,0.09349414118264292,1,1,0,0
48,2020-08-18 13:06:23.529317,3.2422117078990027,59.0,40.60924114088742,21.670773317090188,36.33369934723291,29.00599776095647,36.50583846480828,36.51130437148886,2.9767026265484233,2.9725971087923284,0.09340140314029376,0.09341947197452859,1,1,0,0
49,2020-08-18 13:06:24.154745,3.28048407812787,59.0,40.64404217429325,21.707416815903777,36.35513093535002,29.0436132402018,36.52726033161365,36.53272186133472,2.9767212838644497,2.972619053676496,0.09336100834355077,0.09337906549661103,1,1,0,0
50,2020-08-18 13:06:24.760034,3.3186619373987725,59.0,40.67875888122069,21.743970863720214,36.37651267704615,29.081137014502353,36.54863237668016,36.55408954055444,2.9767398938100413,2.972640942843384,0.09332070126680399,0.09333874676654959,1,1,0,0
51,2020-08-18 13:06:25.343087,3.3567454909514822,59.0,40.71339143823657,21.780435650872782,36.39784466739715,29.118569278333574,36.56995469502682,36.57540750414148,2.976758456494231,2.972662776421238,0.09328048176972227,0.09329851564395689,1,1,0,0
52,2020-08-18 13:06:25.958739,3.394734943697415,59.0,40.88596926983925,22.085973923637077,36.67815474383171,29.222343214767726,36.85013786962725,36.855533541960185,2.977002008762824,2.9729492445699037,0.0927514048311998,0.09276928600607565,1,1,0,0
53,2020-08-18 13:06:26.560810,3.4414034901901402,59.0,40.92823853612583,22.13052021712044,36.70414182816356,29.26806622138249,36.8761132071905,36.88150359060998,2.977024553370377,2.972975761721493,0.09270230034482387,0.09272016736924167,1,1,0,0
54,2020-08-18 13:06:27.143176,3.4879571478830513,59.0,40.970406007514256,22.17495826668482,36.73006938511922,29.313678306299657,36.902029047350524,36.90741415535132,2.9770470404531935,2.973002211212325,0.09265329906475432,0.09267115197215334,1,1,0,0
55,2020-08-18 13:06:27.751522,3.534396158250246,59.0,41.012471889056684,22.219288294731477,36.755937521336236,29.359179696416668,36.927885496676964,36.93326534272332,2.9770694701415295,2.9730285931956075,0.09260440084483473,0.09262223966858973,1,1,0,0
56,2020-08-18 13:06:28.583867,3.5807207624238373,59.0,40.966636508636086,22.183522319453253,36.61541085282151,29.36308422402677,36.78742235298958,36.79283080071539,2.9769475521610858,2.972885192271285,0.09286992566627311,0.0928878410106195,1,1,0,0
57,2020-08-18 13:06:29.230843,3.621588441279883,59.0,41.00375354202477,22.2226140547239,36.63827238876057,29.40320937976454,36.81027354829045,36.815677340205525,2.9769673980983598,2.972908535224178,0.09282674735980985,0.09284465025338079,1,1,0,0
58,2020-08-18 13:06:29.818119,3.6623550966931333,59.0,41.04078063599111,22.26161031293548,36.66108090684111,29.44323667189719,36.833071752083,36.838470900051064,2.976987193463799,2.972931818694313,0.09278366202622708,0.0928015524986893,1,1,0,0
59,2020-08-18 13:06:30.424472,3.70302094619376,59.0,41.077717976892316,22.300511295367762,36.68383650637968,29.483166305975963,36.85581706362329,36.861211579480866,2.9770069383734423,2.9729550428181497,0.09274066952207453,0.09275854760303553,1,1,0,0
60,2020-08-18 13:06:31.071786,3.7435862069763033,59.0,41.17113866738987,22.43309233775056,36.81333679598312,29.550054145744248,36.985258849967195,36.99062702507236,2.9771192188700013,2.9730871080589267,0.092495866695678,0.09251367427262784,1,1,0,0
61,2020-08-18 13:06:31.655259,3.787625488402327,59.0,41.21107666248024,22.47516795098685,36.83792476264992,29.59324108665718,37.009835717373605,37.0151988951003,2.9771405207676978,2.9731121635265296,0.09244936028711012,0.09246715448049303,1,1,0,0
62,2020-08-18 13:06:32.275204,3.831555959721328,59.0,41.250918042964955,22.517140909041096,36.86245600005998,29.63632282216866,37.034355883881844,37.03971407699807,2.9771617682389504,2.973137154977586,0.0924029528359896,0.0924207336776051,1,1,0,0
63,2020-08-18 13:06:32.855739,3.875377852465931,59.0,41.29066300621493,22.559011425581993,36.8869306120266,29.679299570361117,37.05881945324056,37.064172674485135,2.977182961407948,2.9731620825581473,0.09235664419652834,0.09237441171811372,1,1,0,0
64,2020-08-18 13:06:33.473322,3.9190913978276427,59.0,41.195498683210516,22.27370176549683,36.65512411714084,29.658498288715798,36.82711765588677,36.83251801658908,2.976982024042833,2.9729257383792245,0.09279491510361482,0.09281280881996119,1,1,0,0
65,2020-08-18 13:06:34.074043,3.9537106143649794,59.0,41.227034267991726,22.306889274186368,36.674587959896,29.692568528261724,36.846572698201086,36.85196909655694,2.9769989140057618,2.972945604491379,0.09275814380303263,0.09277602692016992,1,1,0,0
66,2020-08-18 13:06:34.680828,3.988243797811151,59.0,41.25849285026602,22.33999519772548,36.6940060138259,29.726555108765034,36.865981974111676,36.87137442021604,2.9770157609368226,2.972965419989272,0.09272145381001529,0.09273932635345299,1,1,0,0
67,2020-08-18 13:06:35.279181,4.022691138402308,59.0,41.28987459463612,22.37301971307152,36.71337836894148,29.76045821114979,36.88534557357724,36.89073407750155,2.977032564936266,2.9729851849908187,0.09268484498766584,0.09270270698286064,1,1,0,0
68,2020-08-18 13:06:35.910542,4.057052826054274,59.0,39.45690695432067,22.598611715853842,35.83674817809401,29.616142592649872,36.00911329264538,36.014680952976065,2.976268889071541,2.972086943364957,0.09433632634760837,0.09435466623617564,1,1,0,0
69,2020-08-18 13:06:36.529595,4.03298344976821,59.0,39.43427694692231,22.575410116016464,35.82290534981395,29.59235795278564,35.995276775531096,36.00084727742073,2.9762567765676167,2.972072696544288,0.09436232156344508,0.09438066900766273,1,1,0,0
70,2020-08-18 13:06:37.151159,4.008974894052315,59.0,39.41170387176061,22.55226647512628,35.80909819253907,29.568632760390592,35.981475914015135,35.98704925052684,2.9762446936327365,2.9720584845030373,0.09438824724149057,0.09440660222217341,1,1,0,0
71,2020-08-18 13:06:37.772425,3.9850269962113885,59.0,39.389187577635326,22.529180641460634,35.79532660702678,29.544966859713163,35.96771060889337,35.97328677310749,2.976232640193153,2.9720443071544764,0.0944141035890128,0.09443246608702746,1,1,0,0
