iteration,timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
0,2020-05-06 04:01:32.563796,3.5240355938347534,,0.01504425,0.008609582,0.0217867,0.06241494,0.0,0.0,0.0,0.0,,,0,1,0,0
1,2020-05-06 04:01:32.658914,3.383414174271266,59.0,36.146906533036514,19.48441741705888,22.884334239795464,27.411125724829667,23.04949944895459,23.04949944895459,2.9900870459634206,2.9900870459634206,0.0,0.11777112086837561,1,1,0,0
2,2020-05-06 04:01:33.260013,3.2432076728811268,59.0,37.84194321312404,21.108638878832117,35.0403091263215,28.582824218714244,35.21303874177313,35.21877051596343,2.975569332271114,2.971264119392856,0.09582781574171095,0.09584659080208567,1,1,0,0
3,2020-05-06 04:01:33.861287,3.1883176595319753,59.0,37.79015554039759,21.056330437569223,35.00886800644021,28.529232263835773,35.1816120691886,35.1873503481616,2.9755416047524363,2.9712315060825816,0.0958865245339751,0.09590531679281689,1,1,0,0
4,2020-05-06 04:01:34.494203,3.1335650063159335,59.0,37.8641560814992,22.17130946432325,35.411357093017855,28.60901368406531,35.583916541848666,35.5895716998059,2.975895919178676,2.9716482533355233,0.0951339962216522,0.09515256842597815,1,1,0,0
5,2020-05-06 04:01:35.067564,3.0951827822311913,59.0,37.8277071594142,22.134473597060683,35.38932751882962,28.571303778272203,35.56189705357863,35.56755675264621,2.975876562099671,2.9716254853939432,0.09517523959704793,0.09519382383952463,1,1,0,0
6,2020-05-06 04:01:35.658899,3.056897054638725,59.0,37.79134952742943,22.09772872181609,35.3673551652399,28.53368708264626,35.53993476186166,35.545598991213026,2.9758572511690673,2.9716027717326625,0.09521636947695258,0.09523496572702482,1,1,0,0
7,2020-05-06 04:01:36.244163,3.0187075579978853,59.0,37.7550829354372,22.061074596428448,35.34543986433752,28.496163348964366,35.51802949884592,35.523698247681224,2.9758379862730138,2.9715801122177723,0.09525738622998255,0.09527599445718096,1,1,0,0
8,2020-05-06 04:01:36.857994,2.980614027630452,59.0,37.76771396846004,21.562732339541192,35.393338694899654,28.469726728576738,35.56590639302949,35.571565265172836,2.9758800869728574,2.97162963137621,0.09516773042102664,0.09518631247152647,1,1,0,0
9,2020-05-06 04:01:37.451581,2.9442355507578526,59.0,37.733186150122066,21.527806345009857,35.372489048359455,28.433956072928872,35.545066293812724,35.55072946456788,2.975861763574784,2.971608079258054,0.09520675996971938,0.09522535341412984,1,1,0,0
10,2020-05-06 04:01:38.068088,2.9079483907234334,59.0,37.69874467038993,21.492966571248196,35.351693365002774,28.39827377572417,35.524280134996275,35.52994759410504,2.9758434839025227,2.971586578570715,0.0952456828008405,0.09526428761031042,1,1,0,0
11,2020-05-06 04:01:38.681359,2.8717522978444237,59.0,37.664389294324366,21.45821278984372,35.330951488087024,28.362679602740734,35.50354775989372,35.509219497123226,2.97582524784832,2.9715651291874536,0.09528449925599415,0.09530311540175275,1,1,0,0
12,2020-05-06 04:01:39.285213,2.8356470232372715,59.0,37.9933406509131,27.34121580376395,35.79851414947302,28.470704365198863,35.97089669761789,35.97647220730387,2.97623543020228,2.9720475887847186,0.09440811915810476,0.09442647991614835,1,1,0,0
13,2020-05-06 04:01:39.908385,2.8469641445469733,59.0,38.00413063024108,27.35227364825466,35.805025651294244,28.481951083052017,35.97740522992248,35.982979402604116,2.9762411293525517,2.9720542921691973,0.0943958937594029,0.09441425096308603,1,1,0,0
