iteration,timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
0,2020-04-21 18:59:11.525685,2.4662909148448335,,0.01504425,0.008609582,0.0217867,0.06241494,0.0,0.0,0.0,0.0,,,0,1,0,0
1,2020-04-21 18:59:11.651801,2.329850270007853,59.0,35.18819694309779,18.641650938872864,22.02868572336257,26.444217594209867,22.19397203817222,22.19397203817222,2.9898546191498028,2.9898546191498028,0.0,0.1192542398495703,1,1,0,0
2,2020-04-21 18:59:12.320257,2.193816825319317,59.0,36.862347018583776,19.868823909778676,34.37997484976502,27.56699215571323,34.553008806374066,34.55887760768985,2.9749852350670807,2.9705771000812504,0.09705814974624927,0.09707728631556975,1,1,0,0
3,2020-04-21 18:59:13.048484,2.142578013302625,59.0,36.814761627883456,19.83935806533021,34.351559354085936,27.517617364038962,34.52460645008401,34.53048116729754,2.974960017705868,2.9705474392448394,0.09711096794207623,0.09713012008201444,1,1,0,0
4,2020-04-21 18:59:13.701494,2.0915485064251413,59.0,36.87689966606409,21.0691600084186,34.769291927593386,27.57929024211044,34.942146219729864,34.94793412860855,2.9753300504700775,2.970982674402684,0.09633345456320079,0.09635237791859841,1,1,0,0
5,2020-04-21 18:59:14.346203,2.0549647710256096,59.0,36.8421694488741,21.034022779636196,34.74834117999734,27.54331754845763,34.92120512365021,34.92699737804604,2.9753115271006294,2.9709608870825264,0.0963725029554762,0.09639143777917006,1,1,0,0
6,2020-04-21 18:59:14.996270,2.0184723966328875,59.0,36.80752563424102,20.998971846662734,34.72744438261947,27.50743325747171,34.900317954860824,34.90611454445042,2.97529304773483,2.970939151519964,0.09641144515666686,0.09643039141976027,1,1,0,0
7,2020-04-21 18:59:15.668052,1.9820711347957598,59.0,36.772967988304245,20.9640069821101,34.70660137958468,27.471637136075906,34.87948455754285,34.885285472028215,2.97527461226467,2.9709174675879666,0.09645028150467967,0.09646923917835615,1,1,0,0
8,2020-04-21 18:59:16.329328,1.9457607378536181,59.0,36.79587206435828,20.78840127908648,34.86201508948611,27.450963695543614,35.03482668945499,35.04059537652813,2.9754119860696875,2.9710790476456665,0.09616056740836122,0.09617944001532346,1,1,0,0
9,2020-04-21 18:59:16.994872,1.9118697176315322,59.0,36.763707371385195,20.755821016305852,34.84265269404243,27.417602123838627,35.01547320582884,35.0212459053766,2.9753948823443537,2.971058930120307,0.09619667879220414,0.09621556199537575,1,1,0,0
10,2020-04-21 18:59:17.668274,1.878063186725356,59.0,36.731622559744196,20.723320725420557,34.82333993733948,27.384322491724625,34.99616933974387,35.00194604222115,2.9753778193055496,2.9710388604509035,0.096232692768024,0.09625158654078375,1,1,0,0
11,2020-04-21 18:59:18.342311,1.8443409172331542,59.0,36.69961741504052,20.690900196940383,34.80407667785302,27.35112458441089,34.97691494972777,34.98269564561282,2.9753607968535576,2.971018838520159,0.09626860963995831,0.09628751395575794,1,1,0,0
12,2020-04-21 18:59:19.038464,1.8107026819645569,59.0,37.02182202878082,26.728893105064408,35.27437971504885,27.47076995631192,35.44700191199843,35.452685321829534,2.975775491838178,2.9715066057973942,0.09539033922290051,0.09540898629068041,1,1,0,0
13,2020-04-21 18:59:19.739211,1.829900193119812,59.0,37.04005482123803,26.747603623638945,35.28534906539467,27.489782099696036,35.457966234309,35.46364738030498,2.9757851417357983,2.971517956078806,0.09536981998156874,0.09538846105315482,1,1,0,0
