iteration,timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
0,37:47.2,2.202414487,,0.01504425,0.008609582,0.0217867,0.06241494,0,0,0,0,,,0,1,0,0
1,37:47.3,2.067363219,59,34.95915146,18.17564502,21.75858508,26.21008327,21.92390978,21.92390978,2.989780951,2.989780951,0,0.119721044,1,1,0,0
2,37:48.0,1.932719012,59,36.63882762,19.38607928,34.15628664,27.3215676,34.32942413,34.33533954,2.97478654,2.970343393,0.09747366,0.097492919,1,1,0,0
3,37:48.7,1.883263524,59,36.59277376,19.35512998,34.12871386,27.27376111,34.30186413,34.30778529,2.974762018,2.970314551,0.097524833,0.097544108,1,1,0,0
4,37:49.3,1.833998853,59,36.6273179,20.67482917,34.57909562,27.32268156,34.7520376,34.757865,2.975161755,2.970784723,0.096687739,0.096706766,1,1,0,0
5,37:50.0,1.797555893,59,36.5927244,20.63982785,34.5582304,27.28684436,34.73118201,34.73701374,2.975143273,2.970762986,0.096726577,0.096745616,1,1,0,0
6,37:50.6,1.761203802,59,36.55821684,20.60491235,34.53741881,27.25109509,34.71038003,34.71621608,2.975124836,2.9707413,0.096765309,0.09678436,1,1,0,0
7,37:51.4,1.724942333,59,36.52379496,20.57008247,34.51666071,27.21543354,34.68963151,34.69547188,2.975106442,2.970719665,0.096803937,0.096822998,1,1,0,0
8,37:52.0,1.68877124,59,36.52786158,21.22876383,34.58696016,27.20875471,34.75989852,34.76572427,2.97516872,2.970792916,0.096673098,0.096692122,1,1,0,0
9,37:52.7,1.657310925,59,36.49795035,21.1984717,34.56893578,27.1777561,34.74188245,34.74771195,2.975152756,2.970774139,0.096706651,0.096725684,1,1,0,0
10,37:53.3,1.625929112,59,36.4681135,21.16825407,34.55095756,27.14683377,34.72391253,34.72974577,2.975136831,2.970755408,0.096740113,0.096759156,1,1,0,0
11,37:54.0,1.594625589,59,36.43835083,21.13811075,34.53302538,27.11598753,34.70598863,34.71182559,2.975120943,2.970736721,0.096773485,0.096792538,1,1,0,0
12,37:54.6,1.563400148,59,36.78050537,26.43179914,35.10512639,27.21624584,35.27782623,35.28354461,2.975626467,2.971331322,0.095706744,0.095725484,1,1,0,0
13,37:55.3,1.580644214,59,36.7968926,26.44861867,35.11498243,27.23333808,35.28767775,35.29339408,2.975635152,2.971341537,0.09568833,0.095707064,1,1,0,0
14,37:56.0,1.597845194,59,36.81323939,26.46539644,35.12481453,27.25038792,35.29750534,35.30321964,2.975643815,2.971351726,0.095669958,0.095688687,1,1,0,0
15,37:56.6,1.615003192,59,36.82954581,26.48213255,35.13462276,27.26739546,35.30730907,35.31302134,2.975652456,2.97136189,0.09565163,0.095670354,1,1,0,0
16,37:57.3,1.632118308,59,37.11975917,26.02377927,35.22533035,27.3372235,35.39797503,35.40366857,2.97573233,2.971455838,0.095482072,0.095500745,1,1,0,0
17,37:57.9,1.66095219,59,37.14689021,26.05173027,35.24167843,27.36566682,35.41431562,35.42000578,2.975746718,2.971472762,0.095451501,0.095470166,1,1,0,0
18,37:58.6,1.689714545,59,37.17395516,26.07961259,35.2579878,27.39404031,35.43061751,35.4363043,2.97576107,2.971489642,0.095420999,0.095439655,1,1,0,0
19,37:59.3,1.718405536,59,37.20095419,26.10742637,35.27425853,27.42234414,35.44688079,35.45256422,2.975775385,2.97150648,0.095390566,0.095409213,1,1,0,0
