iteration,timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
0,2020-05-29 17:47:58.409941,3.2972965553937286,,0.01504425,0.008609582,0.0217867,0.06241494,0.0,0.0,0.0,0.0,,,0,1,0,0
1,2020-05-29 17:47:58.451277,3.1606605732107766,59.0,36.015345470074735,19.490875161051896,22.74441618706561,27.270940082530295,22.909601148409607,22.909601148409607,2.9900491374347666,2.9900491374347666,0.0,0.1180140990708028,1,1,0,0
2,2020-05-29 17:47:59.020308,3.0244278285023114,59.0,37.69012607540154,21.083358391794683,34.91337079563348,28.403069648797604,35.086158766460855,35.09191681470094,2.9754573355555465,2.971132388039514,0.0960647640255944,0.096083608530779,1,1,0,0
3,2020-05-29 17:47:59.588851,2.9738049192135207,59.0,37.64232889430686,21.035034915971217,34.88434799970699,28.35356414694781,35.05714932273092,35.06291338269152,2.975431709772735,2.9711022468079378,0.0961189097922787,0.09613777017842282,1,1,0,0
4,2020-05-29 17:48:00.143247,2.923308694033736,59.0,37.65592669186822,21.950009917097297,35.207432943791304,28.39153325498085,35.38008583880378,35.385783070205875,2.9757165755516013,2.971437308023752,0.09551553549491604,0.09553421916175396,1,1,0,0
5,2020-05-29 17:48:00.704967,2.883902343176473,59.0,37.618529501631386,21.91220540610413,35.18481835821936,28.352831725647782,35.35748162751776,35.36318352986322,2.9756966650311654,2.9714138891222532,0.09555781346679436,0.09557650949826374,1,1,0,0
6,2020-05-29 17:48:01.283731,2.844594909469663,59.0,37.58122581918586,21.874494094493507,35.16226247378762,28.314225669542957,35.334936092703344,35.34064265488506,2.975676801855087,2.971390525907765,0.09559997503203828,0.09561868339679196,1,1,0,0
7,2020-05-29 17:48:01.863984,2.8053861205615505,59.0,37.54401538825165,21.83687573430111,35.13976511785846,28.275714832487402,35.31244906178365,35.31816027272187,2.9756569859067596,2.971367218243145,0.09564202057024641,0.09566074123702537,1,1,0,0
8,2020-05-29 17:48:02.437823,2.766275704988516,59.0,37.59838814241469,22.29672160796182,35.37429160724574,28.275014653210853,35.546868027207495,35.5525308262912,2.9758633478731866,2.971609942721699,0.0952033858911134,0.09522197835043653,1,1,0,0
9,2020-05-29 17:48:02.996305,2.732952418708919,59.0,37.56674319075101,22.264665566503062,35.355206521454164,28.242207614717948,35.52779168226712,35.5334584168543,2.975846572271344,2.9715902111332255,0.09523910770134969,0.09525771059079793,1,1,0,0
10,2020-05-29 17:48:03.579727,2.6997127102045937,59.0,37.53517731257931,22.232688695324093,35.33617064701366,28.20948165360887,35.508764527753684,35.51443518842321,2.9758298368273444,2.9715705267788692,0.09527473262785645,0.09529334592107036,1,1,0,0
11,2020-05-29 17:48:04.151585,2.6665563528003986,59.0,37.50369029448177,22.20079078588035,35.31718384292124,28.176836556133743,35.48978642271585,35.49546100006985,2.9758131414422024,2.9715508895421934,0.09531026097448544,0.09532888464517827,1,1,0,0
12,2020-05-29 17:48:04.733349,2.633483120532105,59.0,37.81943622899105,27.486574275172295,35.783422912833885,28.28534919221564,35.95581234394338,35.961390952636506,2.9762222202915325,2.972032051185927,0.09443645090302151,0.09445481989899202,1,1,0,0
13,2020-05-29 17:48:05.327245,2.6504475468719733,59.0,37.83556623742005,27.50312040019535,35.79314260511269,28.302165262232812,35.9655276030491,35.97110421573676,2.976230728517855,2.9720420586272596,0.09441820385091006,0.09443656754110584,1,1,0,0
14,2020-05-29 17:48:05.926669,2.6673692808877547,59.0,37.85165614177215,27.519625152825817,35.80283852318091,28.31893930999761,35.97521909920967,35.98079372096399,2.976239215123371,2.9720520406380757,0.09440000017375844,0.09441835857129759,1,1,0,0
15,2020-05-29 17:48:06.524860,2.6842484240637106,59.0,37.86770603518818,27.53608863026401,35.81251072035788,28.335671434107617,35.984886885717046,35.99045952159784,2.97624768016054,2.972061997280086,0.09438183978027333,0.09440019289824382,1,1,0,0
16,2020-05-29 17:48:07.147313,2.7010850776704984,59.0,38.1535891863317,27.207003101677877,35.93887503493502,28.412615137228507,36.11119361480648,36.11674032321457,2.976358199273051,2.972191990716439,0.09414446474824432,0.09416274890307978,1,1,0,0
17,2020-05-29 17:48:07.720193,2.731074637671,59.0,38.18180892686533,27.236062817551733,35.955903796570155,28.442181892215466,36.12821462174725,36.13375783865652,2.9763730822228993,2.9722094961578946,0.09411245989848425,0.09413073476172246,1,1,0,0
18,2020-05-29 17:48:08.299655,2.760989316474351,59.0,38.209959544839094,27.265050676064682,35.97289205855313,28.471675618007374,36.145195148777844,36.15073488307682,2.9763879272835183,2.9722269570338824,0.09408052728581705,0.09409879287998849,1,1,0,0
19,2020-05-29 17:48:08.891764,2.79082928309424,59.0,38.23804119060323,27.2939668365971,35.98983990334345,28.501096476160832,36.162135278311354,36.167671538867666,2.9764027345440383,2.9722443734492217,0.09404866678068781,0.09406692312827505,1,1,0,0
20,2020-05-29 17:48:09.461332,2.820594706241266,59.0,38.09155519075098,29.484201446381924,35.89376596498033,28.533528192568788,36.06610509328006,36.071661053478664,2.976318762357117,2.97214560470956,0.09422922656645703,0.09424753533676337,1,1,0,0
21,2020-05-29 17:48:10.037763,2.8508316875506523,59.0,38.120129777471675,29.513704252452605,35.91102756946481,28.56333371778991,36.08335883354685,36.088911252934906,2.9763338555062404,2.972163357388702,0.0941967945169572,0.09421509386745676,1,1,0,0
22,2020-05-29 17:48:10.679969,2.880992788146088,59.0,38.148634074860084,29.543133703496956,35.928247956898886,28.593065260264133,36.100571376874996,36.10612026450748,2.9763489100565224,2.9721810646677156,0.09416443592730994,0.09418272588093882,1,1,0,0
23,2020-05-29 17:48:11.276349,2.911078179902205,59.0,38.17706822022856,29.57249004027714,35.94542720420651,28.622722984366924,36.11774280014417,36.12328816505624,2.976363926092816,2.972198726646397,0.09413215067920747,0.09415043125885682,1,1,0,0
24,2020-05-29 17:48:11.848353,2.941088034416836,59.0,37.97751689348658,26.156929299516584,35.20961215651654,28.55123524046551,35.38226405195,35.387960833299246,2.9757184939619847,2.9714395644722558,0.09551146110269707,0.09553014357807983,1,1,0,0
25,2020-05-29 17:48:12.434571,2.9320872783181215,59.0,37.96890609315102,26.1481449409905,35.20437824740834,28.542280848124854,35.37703254360923,35.382730405885795,2.975713886364993,2.9714341449825454,0.09552124664139856,0.09553993197836229,1,1,0,0
26,2020-05-29 17:48:13.011418,2.923109417300367,59.0,37.96031715867626,26.139382820390786,35.19915774580322,28.5333491301729,35.37181443674268,35.37751337723209,2.9757092903386564,2.9714287391023433,0.09553100675561337,0.09554969494686771,1,1,0,0
