iteration,timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
0,2020-06-01 18:19:14.511280,3.008693226023425,,0.01504425,0.008609582,0.0217867,0.06241494,0.0,0.0,0.0,0.0,,,0,1,0,0
1,2020-06-01 18:19:14.554471,2.868783851964338,59.0,35.64507626636377,18.983605825528876,22.248377702,26.9114577664379,22.413632850842546,22.413632850842546,2.989914433096608,2.989914433096608,0.0,0.11887407308113251,1,1,4,0
2,2020-06-01 18:19:15.134256,2.7292902840327855,59.0,37.342564494843145,20.360988033084958,34.48465654903788,28.075582252563912,34.65764213110083,34.66348915218657,2.9750780763997255,2.9706863007082873,0.09686348053363524,0.09688255975138164,1,1,4,0
3,2020-06-01 18:19:15.753522,2.675109818296022,59.0,37.291440980427325,20.30934678898793,34.45355457139581,28.022666821117305,34.626554521005644,34.63240801095837,2.9750505019355202,2.970653867429462,0.09692133330357523,0.09694042955939619,1,1,4,0
4,2020-06-01 18:19:16.376556,2.621064709974732,59.0,37.35652973742363,21.275559610381997,34.88086583014582,28.08770326386854,35.05366875540693,35.05943353676204,2.9754286347294965,2.9710986299198296,0.09612540554198001,0.09614426783338818,1,1,4,0
5,2020-06-01 18:19:16.944755,2.5814365415734812,59.0,37.318928697786305,21.237555145563114,34.85810338746563,28.048786307255902,35.03091678774214,35.036686285389436,2.9754085308859217,2.971074983633528,0.09616786315591623,0.09618673790366342,1,1,4,0
6,2020-06-01 18:19:17.516787,2.5419077106743657,59.0,37.281421544910955,21.1996442436945,34.83539996846831,28.009965217258404,35.00822381887539,35.01399802161042,2.975388474801669,2.9710513935223233,0.09621020399709004,0.09622909116962848,1,1,4,0
7,2020-06-01 18:19:18.071035,2.5024779440689287,59.0,37.24400802176814,21.16182665608836,34.812755399649106,27.971239738963327,34.98558967536323,34.99136857200911,2.9753684663591144,2.971027859447858,0.09625242844603503,0.09627132801190569,1,1,4,0
8,2020-06-01 18:19:18.639742,2.463146969438995,59.0,37.27587393471089,21.68732580276133,35.106687839481424,27.971343088373324,35.279386968074476,35.285105015792695,2.975627843212436,2.97133294039147,0.0957038270282069,0.09572256578368211,1,1,4,0
9,2020-06-01 18:19:19.197033,2.4297359941726455,59.0,37.24412613874193,21.655192422221667,35.087539919268124,27.938450249806955,35.26024784024395,35.26596984666469,2.9756109687092973,2.9713130924768336,0.09573959929669715,0.0957583485241691,1,1,4,0
10,2020-06-01 18:19:19.767453,2.3964087147697057,59.0,37.21245758548285,21.623138308323924,35.068441322313504,27.905638600522586,35.24115801464147,35.246883970295656,2.97559413456851,2.9712932920368473,0.09577527465645148,0.09579403432948025,1,1,4,0
11,2020-06-01 18:19:20.762384,2.3631649044964576,59.0,37.18086806125207,21.591163252498127,35.049391907398686,27.87290792672922,35.22211735009998,35.22784724554185,2.9755773406905845,2.971273538954506,0.09581085341108574,0.09582962350330425,1,1,4,0
12,2020-06-01 18:19:21.318173,2.3300043373295267,59.0,37.496859410249826,26.827896472581607,35.28378451278337,27.977888104057534,35.456402398810994,35.46208386768187,2.97578376543877,2.9715163372679925,0.09537274672662215,0.09539138865343136,1,1,4,0
13,2020-06-01 18:19:21.897426,2.345788932465041,59.0,37.51188099885535,26.843288187751803,35.29286447238782,27.993542822370607,35.46547819676404,35.47115779188256,2.9757917525565745,2.9715257317754435,0.09535576076688553,0.09537439773041471,1,1,4,0
14,2020-06-01 18:19:22.460058,2.3615337858050083,59.0,37.52686519532297,26.858641386363438,35.3019221744151,28.009158387008917,35.47453174770641,35.48020947383003,2.9757997193949492,2.97153510243011,0.0953388153660182,0.0953574473785547,1,1,4,0
15,2020-06-01 18:19:23.022222,2.377238992244912,59.0,37.54181208700494,26.8739561593679,35.310957669190316,28.024734890319202,35.48356310193752,35.48923896381213,2.975807666003206,2.9715444492899934,0.09532191043747595,0.09534053751127872,1,1,4,0
16,2020-06-01 18:19:23.598476,2.3929046464777457,59.0,37.876806553620185,27.246940811688297,35.5268956453272,28.108077189959324,35.699402231935466,35.705033589062495,2.9759973733232954,2.97176758446534,0.0949175821287429,0.09493609120829556,1,1,4,0
17,2020-06-01 18:19:24.162848,2.4235328376915533,59.0,37.90560382086262,27.276634546755453,35.54432170290734,28.138266159985868,35.71682032175825,35.72244809146002,2.976012665188776,2.9717855708733225,0.09488492624102254,0.09490342580151921,1,1,4,0
18,2020-06-01 18:19:24.731075,2.4540846244408954,59.0,37.93433063461423,27.30625493362526,35.56170640312854,28.168380645756322,35.73419707448271,35.73982126588125,2.9760279181696845,2.9718035115451187,0.09485234384872407,0.09487083391320449,1,1,4,0
19,2020-06-01 18:19:25.321298,2.4845601786837506,59.0,37.96298714760563,27.335802134486762,35.579049829731034,28.198420811524493,35.751532573801555,35.75715319599753,2.9760431323571837,2.9718214065879494,0.09481983482108722,0.09483831541254238,1,1,4,0
20,2020-06-01 18:19:25.886888,2.5149596720721235,59.0,37.751187715786,29.202555839483075,35.42150515513963,28.235046545977475,35.5940599585558,35.59971302494924,2.9759048347435524,2.971658739889911,0.09511499504886314,0.09513356170798011,1,1,4,0
21,2020-06-01 18:19:26.443689,2.5464319284578636,59.0,37.78094668332457,29.233252205270368,35.43953147038397,28.266054152863283,35.61207802313825,35.617727374731714,2.975920669564907,2.97167736492586,0.09508123933138117,0.09509979614074764,1,1,4,0
22,2020-06-01 18:19:27.052550,2.5778252071130083,59.0,37.810632505891604,29.26387231258976,35.45751484414626,28.296984821582534,35.63005316733576,35.63569881362788,2.975936463896275,2.971695942337341,0.09504755975270242,0.0950661067362603,1,1,4,0
23,2020-06-01 18:19:27.631497,2.609139686180356,59.0,37.84024534200246,29.294416330385225,35.47545536313086,28.327838722087783,35.647985477803104,35.65362742827021,2.9759522178327558,2.9717144722361795,0.09501395617840128,0.09503249336004195,1,1,4,0
24,2020-06-01 18:19:28.200945,2.64037554348819,59.0,37.71840791441939,27.00163409453878,35.329057811287,28.26042204088099,35.501654950675444,35.507327078527155,2.9758235827695145,2.9715631707093237,0.09528804282018753,0.09530666000093635,1,1,4,0
25,2020-06-01 18:19:28.774246,2.640874556937163,59.0,37.7188872508719,27.002124415771455,35.329348033112666,28.260920835362263,35.501945039535414,35.5076171075203,2.975823837959716,2.971563470865952,0.0952874997438222,0.09530611676594769,1,1,4,0
26,2020-06-01 18:19:29.372179,2.6413722997585722,59.0,37.719365367440744,27.002613488953706,35.32963751669453,28.261418360246246,35.50223439049019,35.507906398760724,2.975824092500069,2.9715637702582143,0.09528695804778936,0.09530557491169511,1,1,4,0
27,2020-06-01 18:19:30.157356,2.641868775181962,59.0,37.71984226722337,27.003101317255606,35.32992626390529,28.261914618757608,35.502523005411604,35.508194954119844,2.9758243463922227,2.971564068888064,0.0952864177285931,0.09530503443468173,1,1,4,0
28,2020-06-01 18:19:30.730975,2.642363986428691,59.0,38.021927740830506,26.175521032886273,35.08844169027812,28.263962860523314,35.261149197140384,35.266871017109665,2.9756117634837125,2.971314027296337,0.09573791470956511,0.09575666344384647,1,1,4,0
29,2020-06-01 18:19:31.307513,2.6457355330767456,59.0,38.02513651140286,26.178821717325498,35.09039698394919,28.267326910033695,35.26310359290889,35.268825008604495,2.9756134867548596,2.971316054220516,0.09573426201351594,0.09575300967842523,1,1,4,0
30,2020-06-01 18:19:31.867498,2.649098533564171,59.0,38.02833717112917,26.182114049882465,35.09234735161786,28.27068244832156,35.26505306495396,35.27077407740197,2.9756152056521614,2.971318076000159,0.09573061847008985,0.09574936506832675,1,1,4,0
31,2020-06-01 18:19:32.427705,2.6524530093052334,59.0,38.031529740225054,26.1853980514173,35.09429280547933,28.27402949663992,35.26699762546508,35.272718235688984,2.9756169201866243,2.9713200926481846,0.0957269840568768,0.09574572959113424,1,1,4,0
32,2020-06-01 18:19:33.036195,2.6557989816618033,59.0,37.86111320251352,29.659749489306684,34.64102544836584,28.329075177697753,34.81393886018954,34.819753387225234,2.975216586867745,2.9708492177018684,0.09657243122907826,0.09659142480706018,1,1,4,0
33,2020-06-01 18:19:33.616862,2.6781893937027803,59.0,37.88234949467946,29.68172100238315,34.654047608809734,28.35121581591134,34.82695501525228,34.83276683841447,2.975228112507004,2.970862774240885,0.09654817894432462,0.0965671653919559,1,1,4,0
34,2020-06-01 18:19:34.224454,2.7005230629851127,59.0,37.903532800509325,29.703637252822283,34.66703801464972,28.373300836259354,34.8399394310982,34.84574855731471,2.975239608615034,2.970876296045141,0.09652398362716763,0.09654296296208059,1,1,4,0
35,2020-06-01 18:19:34.783339,2.722800122796187,59.0,37.9246632310264,29.725498403815585,34.67999672999274,28.395330367363464,34.8528921717994,34.858698607982376,2.97525107525869,2.9708897831932575,0.09649984517316712,0.09651881741295733,1,1,4,0
36,2020-06-01 18:19:35.381964,2.7450207061790195,59.0,37.70487527896462,26.20728331928492,34.08573958230255,28.283077187652474,34.258909764837426,34.2648399006933,2.9747237877153196,2.970269583897057,0.09760457240272818,0.09762387025804488,1,1,4,0
37,2020-06-01 18:19:35.958386,2.71677025898704,59.0,37.67807987071171,26.179932440968052,34.06924541719599,28.255210905853097,34.24242324742883,34.24835682659298,2.974709110109501,2.9702523199966606,0.09763517119556502,0.09765447809588465,1,1,4,0
38,2020-06-01 18:19:36.516475,2.6885914034540406,59.0,37.65135210817526,26.15264993995553,34.05279408974357,28.227414347805286,34.22597954899243,34.23191656305333,2.9746944683584218,2.970235098268965,0.09766568710193803,0.09768500302415704,1,1,4,0
39,2020-06-01 18:19:37.076591,2.660483945653098,59.0,37.624691809131505,26.125435635736842,34.03638547809123,28.19968732918266,34.20957854772112,34.21551898828841,2.974679862371879,2.9702179186079007,0.09769612037631861,0.09771544529739704,1,1,4,0
40,2020-06-01 18:19:37.651843,2.6324476922526827,59.0,37.564259092815306,21.829733242761797,34.146055790609026,28.04856388542138,34.31919801697494,34.32511556581214,2.9747774417203203,2.9703326921058917,0.09749264885779484,0.09751191364047039,1,1,4,0
41,2020-06-01 18:19:38.227987,2.5862330979457653,59.0,37.52083961667988,21.785518859791928,34.11943441585436,28.00329270842672,34.29258897909902,34.298512082507386,2.974753764550762,2.970304842856393,0.0975420534930739,0.09756133287216506,1,1,4,0
42,2020-06-01 18:19:38.798245,2.5401340951116254,59.0,37.47752808582199,21.741412749459194,34.09288232657853,27.95813249241133,34.26604919767051,34.27197784257851,2.9747301430988173,2.9702770591426457,0.09759132063062728,0.09761061456915579,1,1,4,0
43,2020-06-01 18:19:39.362752,2.494150362052636,59.0,37.434324202440024,21.69741462236592,34.06639931446527,27.913082940510627,34.23957846444429,34.24551263781245,2.9747065772278276,2.9702493408039103,0.0976404507342595,0.09765975919535272,1,1,4,0
44,2020-06-01 18:19:39.962697,2.4482815781562977,59.0,39.065058508068546,18.782427468693932,35.09825168578661,28.08017117368008,35.27095468791052,35.27667447965615,2.9756204090606104,2.971324196287412,0.09571958809454836,0.09573833146368946,1,1,4,0
45,2020-06-01 18:19:40.520041,2.458243542434573,59.0,39.07424551557679,18.78844895510226,35.103827270794895,28.090045648560228,35.27652771280677,35.28224635188168,2.9756253224748264,2.9713299754813534,0.0957091714650467,0.09572791178493266,1,1,4,0
46,2020-06-01 18:19:41.092250,2.4681658567915292,59.0,39.08339628201317,18.794446661384647,35.109381011566,28.099881116218974,35.28207890363285,35.28779639461467,2.9756302163762953,2.9713357317242597,0.09569879524298056,0.09571753252560314,1,1,4,0
47,2020-06-01 18:19:41.658700,2.478048678538812,59.0,39.0925109487648,18.800420680531964,35.114912992159375,28.109677729254095,35.287608344408056,35.2933246918563,2.9756350908421467,2.9713414651068604,0.09568845927596419,0.09570719353326869,1,1,4,0
48,2020-06-01 18:19:42.245084,2.487892164365647,59.0,39.500202549356956,18.944135806424576,35.079142164775845,28.140308748573283,35.2518539423628,35.257577685192885,2.975603567030113,2.971304386567418,0.09575528652755916,0.09577404034793209,1,1,4,0
49,2020-06-01 18:19:42.903475,2.5050142175701495,59.0,39.51582523052686,18.954494212935813,35.08867780227959,28.15719409071334,35.261385200714486,35.2671069718652,2.9756119715794966,2.971314272060127,0.09573747362994164,0.0957562222350904,1,1,4,0
50,2020-06-01 18:19:43.480559,2.522068646014887,59.0,39.53138707173623,18.964812208894102,35.09817675214944,28.17401353235639,35.27087978868117,35.276599595918654,2.975620343024481,2.971324118615243,0.0957197280871312,0.09573847149725337,1,1,4,0
