iteration,timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
0,2020-06-09 23:49:01.976081,2.844279467212644,,0.01504425,0.008609582,0.0217867,0.06241494,0.0,0.0,0.0,0.0,,,0,1,0,0
1,2020-06-09 23:49:02.018602,2.7113180476041947,59.0,35.6472678702371,19.04543407419343,22.52518429169072,26.895989963366624,22.690400242387696,22.690400242387696,2.9899896624535742,2.9899896624535742,0.0,0.11839445295120468,0,1,0,0
2,2020-06-09 23:49:02.582068,2.578752119097402,59.0,35.523562832584815,18.96249817481914,22.422337454795297,26.77132690991622,22.58756796031456,22.58756796031456,2.9899617287367164,2.9899617287367164,0.0,0.11857273555122877,1,1,0,0
3,2020-06-09 23:49:03.176600,2.4465808086488607,59.0,37.16661826003214,20.252421922393673,34.69487516533424,27.85241947076525,34.867763748301826,34.87356709634858,2.975264238870139,2.970905266327115,0.09647212820610891,0.0964910922997429,1,1,0,0
4,2020-06-09 23:49:03.742680,2.3991225467812143,59.0,37.18770666694191,21.48964401832641,34.98953485611929,27.88847184902533,35.16228780468528,35.16803008442814,2.9755245509271475,2.9712114472487556,0.09592261819371634,0.0959414210285567,1,1,0,0
5,2020-06-09 23:49:04.305371,2.3627795927846336,59.0,37.15320678780887,21.454733687588153,34.96871482249598,27.85273363917718,35.14147734212108,35.14722393115818,2.9755061819736497,2.9711898415517126,0.09596148233402474,0.0959802965589346,1,1,0,0
6,2020-06-09 23:49:04.874912,2.326527568674763,59.0,37.118792898031856,21.41990926026856,34.947948492961544,27.81708342635708,35.12072056086649,35.126471448941416,2.9754878567384395,2.971168287276626,0.0960002406179906,0.09601906620422059,1,1,0,0
7,2020-06-09 23:49:05.476260,2.2903662267836467,59.0,37.08446476451324,21.385170509662267,34.927235712161576,27.781520978162114,35.10001730562311,35.105772482504705,2.975469575114026,2.9711467842970762,0.09603889338282247,0.09605773030170309,1,1,0,0
8,2020-06-09 23:49:06.060740,2.2542953202322877,59.0,37.06334255947438,21.740924596621376,34.85312349382093,27.758188502190997,35.02593918610992,35.03170971571754,2.975404132013111,2.971069809647517,0.0961771509495036,0.09619602842276657,1,1,0,0
9,2020-06-09 23:49:06.612902,2.220196057208227,59.0,37.03094902896187,21.70812971863848,34.83356219983577,27.72462688832369,35.00638689626557,35.01216147991555,2.975386851099188,2.971049483711738,0.09621363100475813,0.09623251918334283,1,1,0,0
