iteration,timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
0,2020-06-10 00:23:58.897814,2.844279467212644,,0.01504425,0.008609582,0.0217867,0.06241494,0.0,0.0,0.0,0.0,,,0,1,0,0
1,2020-06-10 00:23:58.936689,2.7113180476041947,59.0,35.64726787023709,19.04543407419343,22.52518429169072,26.895989963366624,22.690400242387696,22.690400242387696,2.9899896624535742,2.9899896624535742,0.0,0.11839445295120468,1,1,0,0
2,2020-06-10 00:23:59.825213,2.578752119097402,59.0,37.29148200212097,20.378712400193358,34.770499699914765,27.981827049260154,34.9433534357367,34.94914109413928,2.9753311181592537,2.9709839302263674,0.09633120326697976,0.09635012596139429,1,1,0,0
3,2020-06-10 00:24:00.511680,2.5309641370019875,59.0,37.246336635802464,20.3330528524697,34.74315431210222,27.935040464922984,34.91602064554091,34.92181397591841,2.9753069405793156,2.970955492383247,0.09638216940551604,0.09640110706868642,1,1,0,0
4,2020-06-10 00:24:01.281405,2.483295399706961,59.0,37.2676095618305,21.570493253741013,35.03776175024167,27.971238596215777,35.2104925360604,35.21622483719936,2.975567086081,2.9712614774076016,0.09583257283107276,0.09585134928473538,1,1,0,0
5,2020-06-10 00:24:02.082667,2.4467417678422976,59.0,37.2329104559543,21.535383919159777,35.01681725311447,27.935296531810444,35.18955766274681,35.19529429693286,2.9755486158802142,2.971239752622317,0.09587168242163582,0.09589047033198385,1,1,0,0
6,2020-06-10 00:24:02.953859,2.410279640134661,59.0,37.198297879911735,21.500361013514002,34.995926820503556,27.899443003156527,35.16867683104054,35.17441778795886,2.9755301896466833,2.971218079551832,0.09591068537283798,0.09592948471093697,1,1,0,0
7,2020-06-10 00:24:03.749560,2.3739087670841315,59.0,37.163771598886,21.46542430851074,34.97509029578083,27.86367777622403,35.14784988436983,35.15359515373095,2.975511807272291,2.971196458068974,0.09594958202506665,0.09596839276206261,1,1,0,0
8,2020-06-10 00:24:04.532469,2.3376288999871804,59.0,37.14250632828197,21.82106505183291,34.90093442327566,27.840202842111985,35.07372811511189,35.079488739190865,2.975446355689435,2.9711194734413198,0.09608796701762003,0.09610681832771183,1,1,0,0
9,2020-06-10 00:24:05.577990,2.3033209745322694,59.0,37.10991530341306,21.788072644441762,34.88124992284561,27.806438951552657,35.054052671387254,35.05981737317586,2.9754289738927397,2.9710990288460764,0.09612468900901502,0.09614355109048629,1,1,0,0
10,2020-06-10 00:24:06.720173,2.269098967018806,59.0,37.07740559723089,21.755161566241306,34.86161615916605,27.772758344918536,35.03442794277319,35.04019671252803,2.9754116336276937,2.9710786331008308,0.09616131135072627,0.09618018417637637,1,1,0,0
11,2020-06-10 00:24:07.916053,2.234962644300168,59.0,37.04497699009592,21.722331603041972,34.84203298647469,27.73916080269708,35.01485378356078,35.02062661156248,2.975394334791929,2.9710582860851744,0.09619783435653467,0.09621671789923819,1,1,0,0
12,2020-06-10 00:24:09.079285,2.2009117739638526,59.0,37.34364366592254,26.88837428329851,35.1752900121413,27.844045475179065,35.34795765318253,35.35366152387188,2.9756882747018807,2.9714040203549317,0.0955756247077953,0.09559432594915779,1,1,0,0
13,2020-06-10 00:24:09.683363,2.2151822553127545,59.0,37.3572409564855,26.90230538747644,35.18350823969706,27.858208165648,35.35617211007289,35.361874283048905,2.9756955114323205,2.97141253225076,0.09556026252852647,0.09557895927633239,1,1,0,0
14,2020-06-10 00:24:10.307355,2.2294167939953837,59.0,37.37080435607663,26.916201601366502,35.19170626528077,27.872335403050393,35.36436637455874,35.370066854129064,2.975702729800517,2.9714210225488316,0.09554493723210948,0.09556362949750363,1,1,0,0
15,2020-06-10 00:24:10.896229,2.243615476306431,59.0,37.38433394444857,26.930063007877884,35.199884135059506,27.886427271543575,35.37254049278383,35.37823928324566,2.9757099298512983,2.9714294913018406,0.0955296487384917,0.09554833653259293,1,1,0,0
16,2020-06-10 00:24:11.465652,2.2577783883532874,59.0,37.79422143344455,26.725005965170432,35.72781147647889,27.974737117997314,35.900226280227,35.905816312773965,2.976173524662066,2.971974775012292,0.09454082757962877,0.09455922693541251,1,1,0,0
17,2020-06-10 00:24:12.071292,2.2887156364711387,59.0,37.82327805549387,26.75497095190554,35.74532813319509,28.005228432729773,35.9177349434989,35.92332137705341,2.9761888658257973,2.971992819406829,0.0945079551511151,0.09452634494357738,1,1,0,0
18,2020-06-10 00:24:12.650571,2.319575973509501,59.0,37.852263831989646,26.784862176984937,35.762803356403694,28.035644778586068,35.93520219354019,35.94078503723166,2.976204168073508,2.972010818028174,0.09447515640178329,0.09449353665399998,1,1,0,0
