iteration,timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
0,2020-04-21 00:11:32.754344,3.0,,0.01504425,0.008609582,0.0217867,0.06241494,0.0,0.0,0.0,0.0,,,0,1,0,0
1,2020-04-21 00:11:32.904100,2.8592767130400745,59.0,35.63123982065122,18.72294821374559,22.33976310140291,26.884966679111976,22.505005300633783,22.505005300633783,2.9899392860830076,2.9899392860830076,0.0,0.11871580701268368,1,1,0,0
2,2020-04-21 00:11:33.595713,2.7189741230413915,59.0,37.34651859916622,19.961939685230654,34.60432962437592,28.04854653345111,34.7772599630858,34.78308211131235,2.9751841004727666,2.9708110069730083,0.0966407612878022,0.09665977496009234,1,1,0,0
3,2020-04-21 00:11:34.244949,2.6630309757647552,59.0,37.29452145110524,19.92537541034286,34.57311121214485,27.994602401403633,34.74605595580255,34.751884589737486,2.9751564542286104,2.970778489264454,0.09669887843794901,0.09671790920670033,1,1,0,0
4,2020-04-21 00:11:34.894043,2.607296074385488,59.0,37.32335740723191,21.345335067429694,34.94519373811407,28.06748152691238,35.117967072773084,35.123718531194044,2.9754854255605636,2.9711654277075397,0.09600538171676444,0.09602420880994493,1,1,0,0
5,2020-04-21 00:11:35.536031,2.5667760802136144,59.0,37.28490582410632,21.306484745004063,34.921944623201654,28.027702185918052,35.09472865025843,35.100484922847016,2.9754649045130392,2.9711412907022776,0.09604876640410803,0.0960676062177775,1,1,0,0
6,2020-04-21 00:11:36.215042,2.5263575925957724,59.0,37.24655019006289,21.267729967939395,34.89875579585562,27.988020735202262,35.071550489961695,35.0773115653047,2.9754444321145854,2.971117210918649,0.0960920316077016,0.09611088410966005,1,1,0,0
7,2020-04-21 00:11:36.901742,2.4860403319807887,59.0,37.208290242034266,21.229070482129593,34.875627078388334,27.948436914316538,35.04843241425763,35.054198280969885,2.975424008245618,2.9710931882159883,0.096135177718736,0.09615404287687397,1,1,0,0
8,2020-04-21 00:11:37.555294,2.44582401973274,59.0,37.28291364838853,21.9426772921777,35.07105528494755,27.96262182144813,35.243770776673756,35.24949619176628,2.9755964387855443,2.9712960022738244,0.09577039216723868,0.09578915041058661,1,1,0,0
9,2020-04-21 00:11:38.238596,2.413826540227717,59.0,37.25250677011539,21.911879875794618,35.05270409783165,27.93110284552383,35.22542801895861,35.23115722932347,2.9755802609241115,2.971276973754577,0.09580466754429143,0.09582343582484974,1,1,0,0
10,2020-04-21 00:11:38.882747,2.3819092543346727,59.0,37.22217582687409,21.88115851204895,35.03440014652395,27.899661751482547,35.207132476839476,35.2128654733761,2.9755641218542337,2.971257990862391,0.09583885032727472,0.09585762861969865,1,1,0,0
11,2020-04-21 00:11:39.578117,2.350071945414655,59.0,37.191920614488865,21.850513001160515,35.01614329647467,27.868298334573502,35.18888401581644,35.19462078944673,2.975548021480165,2.9712390534846307,0.0958729408038559,0.09589172908287033,1,1,0,0
12,2020-04-21 00:11:40.228196,2.3183143975017515,59.0,37.49896194349452,27.338714933866775,35.498305001908136,27.976580237437183,35.67082466401895,35.67646190829629,2.9759722785798104,2.971738067838295,0.09497115139675247,0.09498967609503593,1,1,0,0
13,2020-04-21 00:11:40.922337,2.337040922307196,59.0,37.516760492515445,27.356973596116724,35.50903552142633,27.995128948660856,35.68155027566726,35.68718531021179,2.9759816978534133,2.9717491468590893,0.09495104727289418,0.09496956610907979,1,1,0,0
14,2020-04-21 00:11:41.575961,2.3557204098095923,59.0,37.53451492203051,27.375186713236012,35.51973991917161,28.01363142174778,35.69224977800191,35.69788260842323,2.9759910932150007,2.971760197754435,0.09493099057197825,0.0949495035605061,1,1,0,0
15,2020-04-21 00:11:42.283027,2.374352970964381,59.0,37.552225333502236,27.3933543913139,35.53041825292165,28.032087764244032,35.70292322877046,35.708553860664665,2.976000464722283,2.971771220592231,0.09491098119628337,0.09492948835156079,1,1,0,0
16,2020-04-21 00:11:42.998546,2.3929387164983353,59.0,37.878838597058234,27.183933011281987,35.63040826329811,28.1106195898007,35.80286754048444,35.80847759688332,2.976088170429392,2.9718743807111494,0.09472354366762671,0.09474199620958586,1,1,0,0
17,2020-04-21 00:11:43.673625,2.424000169968508,59.0,37.908039549001074,27.214037510342074,35.648053562278974,28.14123061118452,35.82050477963148,35.82611120714738,2.9761036390094233,2.971892574972955,0.09469045267997526,0.09470889558582751,1,1,0,0
18,2020-04-21 00:11:44.327724,2.454984200989216,59.0,37.93716913400263,27.24406771376541,35.66565703947846,28.17176617629267,35.83810021748738,35.84370302534572,2.9761190682641327,2.971910722980148,0.0946574359995756,0.09467586929262042,1,1,0,0
19,2020-04-21 00:11:44.986466,2.485890983417889,59.0,37.96622750635777,27.27402378544074,35.683218779283195,28.20222645111574,35.85565393839079,35.86125313579542,2.976134458285614,2.9719288248410507,0.09462449349502094,0.09464291719850874,1,1,0,0
20,2020-04-21 00:11:45.651319,2.516720690804476,59.0,37.78956772186946,29.26722623496277,35.37479166075046,28.265887573945214,35.54736785171261,35.55303054769094,2.9758637873734486,2.9716104596652073,0.09520244986982249,0.09522104205587031,1,1,0,0
21,2020-04-21 00:11:46.317314,2.552840189435045,59.0,37.82365069985789,29.30239663356094,35.39545970099397,28.301408191755847,35.568026427996074,35.57368486289633,2.975881950779005,2.971631823598983,0.0951637596774105,0.09518234056885934,1,1,0,0
