iteration,TANK_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2
0,3.750017113177222,38.26696758305759,21.513344199960933,35.2156229332908,29.06178898741802,35.388272071761605,35.393967611809316,2.9757237851754397,2.971445788036725,0.09550022265671657,0.09551890184582432,1,1
1,3.692247900771747,38.21243417596264,21.458355592255167,35.182442005895325,29.005452388804436,35.3551063654608,35.36080875869072,2.975694572570525,2.9714114279545782,0.09556225566933264,0.09558095300012749,1,1
2,3.6346238260950656,38.1580370961552,21.403501557289694,35.149348775957336,28.94925375252496,35.32202832125304,35.32773755174202,2.9756654278375123,2.9713771477043522,0.09562411038241317,0.09564282580855642,1,1
3,3.577144471989172,38.21770382542205,22.467281346392433,35.6403252594793,29.0103205518653,35.812780006713226,35.81838802353322,2.976096864396638,2.971884606621714,0.09470494640751242,0.09472339353373793,1,1
4,3.5330598136050924,38.175870081207506,22.425069614418767,35.61502526160585,28.967106133506597,35.78749156641335,35.79310478694863,2.9760746828907045,2.971858516565405,0.09475238869795151,0.09477084964095281,1,1
5,3.4890861551837276,38.13414125807367,22.38296204421831,35.58979142613384,28.923998422393062,35.76226926113999,35.76788767306489,2.976052553923111,2.971832488305381,0.09479969845798702,0.09481817318257751,1,1
6,3.4452231866498124,38.09251706409151,22.340958355780053,35.56462355401882,28.880997131533555,35.73711289191607,35.742736482935214,2.976030477364553,2.971806521689537,0.09484687613438512,0.09486536460547888,1,1
7,3.401470598973347,38.199557963359695,22.728611505197968,35.711898557102984,28.914515276641488,35.884320623646715,35.88991392621652,2.9761595857725496,2.971958379983562,0.0945706868289643,0.09458909487289537,1,1
8,3.3688499606531366,38.16854197548777,22.69723041497948,35.69315915285466,28.882393600847543,35.86558977367987,35.87118692775482,2.976143168239801,2.971939069555816,0.0946058454145136,0.094624263690281,1,1
9,3.3363115823003966,38.137603926637155,22.66592727014062,35.67446831935747,28.850351756520077,35.8469074738577,35.85250847015969,2.9761267902553072,2.9719198056451717,0.09464090821670046,0.0946593366983042,1,1
10,3.3038552398145384,38.106743605422,22.634701864332193,35.65582591687921,28.818389532163827,35.828273584499115,35.83387841377305,2.9761104517209276,2.971900588136222,0.09467587553679092,0.0946943141983029,1,1
11,3.271480709799846,38.416902896103494,28.271590820787246,36.09611781106172,28.928033884966986,36.268364834045585,36.27387932444189,2.97649553254562,2.972353523185596,0.09384878523521895,0.09386698360839259,1,1
12,3.2897499019711063,38.43427985863988,28.289404304800705,36.106612209252916,28.946132076888297,36.27885446048603,36.284366802432885,2.9765046905758012,2.972364294932717,0.09382903969887815,0.09384723234829478,1,1
13,3.3079728958604164,38.45161344948765,28.307173050615056,36.11708087554216,28.964184844622572,36.28931836721924,36.29482856620719,2.9765138252016285,2.972375039151494,0.09380934109670946,0.09382752803656831,1,1
14,3.326149801279527,38.468903769183385,28.324897163254853,36.12752386734152,28.98219229465274,36.29975661162764,36.30526467313386,2.976522936480002,2.97238575590886,0.09378968933104831,0.09380787057551605,1,1
15,3.344280727811679,38.79955769452303,28.217774941154424,36.367799785517946,29.061057835499405,36.53992343620236,36.545382379012395,2.9767323108832073,2.972632023744147,0.09333712683520563,0.09335517708350193,1,1
16,3.375186670887544,38.828623944381675,28.247732312436447,36.38536239232121,29.091515012143994,36.557478079210995,36.56293343637225,2.976747595140708,2.972650001210191,0.09330401669903333,0.09332205737577641,1,1
17,3.4060151467944877,38.85761876230063,28.277615336755936,36.402883136011184,29.121896691054495,36.574990879481234,36.580442660167236,2.9767628402943416,2.9726679326820786,0.09327098129695545,0.0932890124254252,1,1
18,3.436766330388437,38.88654230349394,28.30742417895977,36.420362101508985,29.15220303916751,36.59246192188613,36.597910135248725,2.976778046436273,2.9726858182682463,0.09323802049628138,0.09325604209970818,1,1
19,3.4674403962148688,38.61701274959519,30.254207422014197,36.01219701292098,29.182169594789904,36.18448221212027,36.1900138911048,2.9764222640631957,2.9722673442222245,0.09400663141066508,0.09402487556108213,1,1
20,3.4979914648537545,38.645964186189715,30.28403099156275,36.029758239778005,29.212277464880593,36.20203544761692,36.20756352854464,2.9764376012265643,2.9722853839137358,0.09397360844317848,0.09399184301339754,1,1
21,3.528465270231081,38.674843893708044,30.313779912876875,36.04727726635777,29.242310034288856,36.21954650342296,36.22507099556273,2.9764528988795504,2.972303377132974,0.09394066069402046,0.09395888570752359,1,1
22,3.5588619883358206,38.70365203510072,30.343454324475594,36.06475418155492,29.27226747097273,36.23701546838305,36.24253638098122,2.97646815711812,2.9723213239928086,0.09390778802336125,0.09392600350357887,1,1
23,3.5891817948297415,38.56088003509673,27.87668017642161,35.6369648563242,29.2041052384129,35.8094211384965,35.815029846411576,2.976093918514941,2.971881141653192,0.09471124828982097,0.09472969725116732,1,1
24,3.5828900535480983,38.5548414214221,27.87051966430088,35.63329077995749,29.197837558449883,35.80574874040312,35.81135820394884,2.9760906975421975,2.9718773531205045,0.09471813824287928,0.094736589210663,1,1
25,3.5766144325784666,38.54881825944334,27.864374880796255,35.62962616270259,29.19158588383396,35.802085797160814,35.80769601441882,2.976087484746664,2.971873574205901,0.09472501027876927,0.09474346324784465,1,1
26,3.5703548900004165,38.54281050906279,27.85824578527407,35.625970979712676,29.18535017320088,35.79843228393372,35.80404325299055,2.976084280107429,2.9718698048848182,0.09473186444548615,0.09475031941072086,1,1
27,3.5641113840058267,38.849839416151084,27.08565263158423,35.366702362598176,29.178879308043683,35.539282258192884,35.5449466221546,2.975856677374715,2.9716020968314396,0.09521759135596924,0.09523618796280024,1,1
28,3.5577162860227247,38.843753264280465,27.079402404761844,35.362973851890175,29.172508922108086,35.535555455118256,35.54122058792923,2.9758534000534667,2.971598242021649,0.09522457006365587,0.09524316870814202,1,1
