Timestamps,T1_LEVEL,T2_LEVEL,T0_LEVEL,P_RAW1_FLOW,P_RAW1_STATUS,P_RAW2_FLOW,P_RAW2_STATUS,P_B2_FLOW,P_B2_STATUS,P_B1_FLOW,P_B1_STATUS,V_Gi_G_FLOW,V_Gi_G_STATUS,V_Gi_B_FLOW,V_Gi_B_STATUS,V_SWaT_FLOW,V_SWaT_STATUS,V_PUB_FLOW,V_PUB_STATUS,V_ER2i_FLOW,V_ER2i_STATUS,V_ER2o_FLOW,V_ER2o_STATUS,V_ER1i_FLOW,V_ER1i_STATUS,V_ER1o_FLOW,V_ER1o_STATUS,FCV_ER_FLOW,FCV_ER_STATUS,FCV_RWin_FLOW,FCV_RWin_STATUS,Attack#01,Attack#02
2020-07-16 10:43:26.000472,0.32128829999999997,0.17512516044009985,0.5380711974762764,0,0,0,0,0,0,0,0,1.4756991434390755e-05,1,0,0,0.0,0,0.0,0,0,0,1.4756991434390755e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:26.255458,0.32128829999999997,0.17478066612421683,0.5380711974762764,0,0,0,0,0,0,0,0,1.4704064897705723e-05,1,0,0,0.0,0,0.0,0,0,0,1.4704064897705723e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:26.550763,0.32128829999999997,0.17443740735089874,0.5380711974762764,0,0,0,0,0,0,0,0,1.462219249192888e-05,1,0,0,0.0,0,0.0,0,0,0,1.462219249192888e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:27.084975,0.32128829999999997,0.17409605984645582,0.5380711974762764,0,0,0,0,0,0,0,0,1.4614629247425473e-05,1,0,0,0.0,0,0.0,0,0,0,1.4614629247425471e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:27.409058,0.32128829999999997,0.1737548889020355,0.5380711974762764,0,0,0,0,0,0,0,0,1.460344444194996e-05,1,0,0,0.0,0,0.0,0,0,0,1.460344444194996e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:27.801505,0.32128829999999997,0.17341397906110134,0.5380711974762764,0,0,0,0,0,0,0,0,1.4588506823945786e-05,1,0,0,0.0,0,0.0,0,0,0,1.4588506823945788e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:28.159888,0.32128829999999997,0.17307341793111664,0.5380711974762764,0,0,0,0,0,0,0,0,1.4444297357289161e-05,1,0,0,0.0,0,0.0,0,0,0,1.4444297357289158e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:28.766416,0.32128829999999997,0.17273622329638139,0.5380711974762764,0,0,0,0,0,0,0,0,1.4243158398534332e-05,1,0,0,0.0,0,0.0,0,0,0,1.4243158398534332e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:29.069398,0.32128829999999997,0.17240372414637983,0.5380711974762764,0,0,0,0,0,0,0,0,1.4076391465781464e-05,1,0,0,0.0,0,0.0,0,0,0,1.4076391465781464e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:29.374677,0.32128829999999997,0.17207511808398124,0.5380711974762764,0,0,0,0,0,0,0,0,1.393290378246153e-05,1,0,0,0.0,0,0.0,0,0,0,1.3932903782461528e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:29.658214,0.32128829999999997,0.1717498616671742,0.5380711974762764,0,0,0,0,0,0,0,0,1.3802183534623639e-05,1,0,0,0.0,0,0.0,0,0,0,1.3802183534623637e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:30.030605,0.32128829999999997,0.17142765684679517,0.5380711974762764,0,0,0,0,0,0,0,0,1.3584563608765538e-05,1,0,0,0.0,0,0.0,0,0,0,1.358456360876554e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:30.434670,0.32128829999999997,0.171110532250784,0.5380711974762764,0,0,0,0,0,0,0,0,1.358546430034296e-05,1,0,0,0.0,0,0.0,0,0,0,1.3585464300342957e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:30.746630,0.32128829999999997,0.1707933866285949,0.5380711974762764,0,0,0,0,0,0,0,0,1.3554992560399623e-05,1,0,0,0.0,0,0.0,0,0,0,1.3554992560399623e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:31.011425,0.32128829999999997,0.17047695235338,0.5380711974762764,0,0,0,0,0,0,0,0,1.354659715741542e-05,1,0,0,0.0,0,0.0,0,0,0,1.354659715741542e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:31.286042,0.32128829999999997,0.17016071406449607,0.5380711974762764,0,0,0,0,0,0,0,0,1.3537603398738021e-05,1,0,0,0.0,0,0.0,0,0,0,1.3537603398738021e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:31.648829,0.32128829999999997,0.1698446857302467,0.5380711974762764,0,0,0,0,0,0,0,0,1.3448621700424859e-05,1,0,0,0.0,0,0.0,0,0,0,1.3448621700424859e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:32.073399,0.32128829999999997,0.16953073462762158,0.5380711974762764,0,0,0,0,0,0,0,0,1.3283511504975147e-05,1,0,0,0.0,0,0.0,0,0,0,1.3283511504975147e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:32.492674,0.32128829999999997,0.16922063793692588,0.5380711974762764,0,0,0,0,0,0,0,0,1.3161415807679753e-05,1,0,0,0.0,0,0.0,0,0,0,1.3161415807679753e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:32.825533,0.32128829999999997,0.16891339150699625,0.5380711974762764,0,0,0,0,0,0,0,0,1.3065963209011413e-05,1,0,0,0.0,0,0.0,0,0,0,1.3065963209011413e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:33.318477,0.32128829999999997,0.16860837336850554,0.5380711974762764,0,0,0,0,0,0,0,0,1.2936920308686392e-05,1,0,0,0.0,0,0.0,0,0,0,1.293692030868639e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:33.705176,0.32128829999999997,0.1683063676696348,0.5380711974762764,0,0,0,0,0,0,0,0,1.2872947909405843e-05,1,0,0,0.0,0,0.0,0,0,0,1.2872947909405843e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:33.998956,0.32128829999999997,0.16800585537326573,0.5380711974762764,0,0,0,0,0,0,0,0,1.2840502976409927e-05,1,0,0,0.0,0,0.0,0,0,0,1.2840502976409927e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:34.335115,0.32128829999999997,0.16770610048703993,0.5380711974762764,0,0,0,0,0,0,0,0,1.2812593263107303e-05,1,0,0,0.0,0,0.0,0,0,0,1.2812593263107303e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:34.673996,0.32128829999999997,0.1674069971386043,0.5380711974762764,0,0,0,0,0,0,0,0,1.029682895707165e-05,1,0,0,0.0,0,0.0,0,0,0,1.029682895707165e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:35.120739,0.32128829999999997,0.16716662300386953,0.5380711974762764,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:35.417122,0.32128829999999997,0.16716662300386953,0.5380711974762764,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:35.728970,0.32128829999999997,0.16716662300386953,0.5380711974762764,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:36.090653,0.32128829999999997,0.16716662300386953,0.5380711974762764,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:43:36.491652,0.32128829999999997,0.16716662300386953,0.5380711974762764,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0,1,0.0,1,0,0
