timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
37:38.5,2.959572446,59,37.75730774,21.78992346,35.1767517,28.42117067,35.34941867,35.35512224,2.975689562,2.971405534,0.095572892,0.095591593,1,1,0,0
37:39.0,2.919246263,59,37.71913822,21.75126055,35.15363502,28.38157911,35.3263126,35.33202094,2.975669203,2.971381588,0.0956161,0.095634813,1,1,0,0
37:39.6,2.879021171,59,37.68106396,21.71269278,35.1305783,28.34208504,35.30326647,35.30897957,2.975648893,2.971357699,0.095659188,0.095677914,1,1,0,0
37:40.1,2.838896892,59,37.65372461,22.31155481,35.36946377,28.35270451,35.5420424,35.5477062,2.975859105,2.971604952,0.095212423,0.095231018,1,1,0,0
37:40.7,2.806402105,59,37.62283635,22.28028676,35.35082348,28.32070322,35.52341065,35.52907829,2.975842719,2.971585679,0.095247311,0.095265916,1,1,0,0
37:41.2,2.773988946,59,37.5920254,22.24909609,35.33223131,28.28878117,35.504827,35.51049847,2.975826373,2.971566453,0.095282104,0.09530072,1,1,0,0
37:41.8,2.741657192,59,37.56129156,22.21798259,35.31368711,28.25693814,35.4862913,35.49196659,2.975810066,2.971547273,0.095316804,0.095335429,1,1,0,0
37:42.3,2.709406623,59,37.59366579,22.47350563,35.39880672,28.25509077,35.57137191,35.57702966,2.975884892,2.971635283,0.095157494,0.095176073,1,1,0,0
37:42.9,2.68260797,59,37.56816102,22.44765417,35.38342934,28.22863766,35.55600158,35.56166249,2.975871379,2.971619389,0.095186281,0.095204868,1,1,0,0
37:43.5,2.65587667,59,37.54272014,22.42186687,35.36809147,28.20225024,35.54067073,35.54633481,2.975857898,2.971603533,0.095214991,0.095233587,1,1,0,0
37:44.1,2.629212543,59,37.51734299,22.39614356,35.352793,28.17592833,35.52537927,35.5310465,2.975844451,2.971587716,0.095243625,0.095262229,1,1,0,0
37:44.6,2.60261541,59,37.84180387,27.75658766,35.85289085,28.28128162,36.02524861,36.03081295,2.976283012,2.972103555,0.094306009,0.09432434,1,1,0,0
37:45.2,2.626201839,59,37.8641529,27.77954263,35.86635086,28.30459586,36.03870249,36.04426407,2.976294786,2.972117403,0.094280727,0.094299051,1,1,0,0
37:45.7,2.649729117,59,37.88644677,27.80244051,35.87977841,28.32785217,36.05212391,36.05768274,2.97630653,2.972131217,0.094255504,0.094273821,1,1,0,0
37:46.3,2.67319738,59,37.90868562,27.82528141,35.89317356,28.35105067,36.06551296,36.07106904,2.976318244,2.972144995,0.09423034,0.094248649,1,1,0,0
37:46.8,2.696606767,59,38.34230364,28.03806278,36.26511359,28.4967233,36.43728383,36.44276375,2.976642893,2.972526849,0.093530634,0.09354874,1,1,0,0
37:47.3,2.739829644,59,38.3826812,28.0798032,36.28943111,28.53911985,36.46159031,36.46706526,2.976664077,2.972551766,0.093484822,0.093502915,1,1,0,0
37:47.9,2.782945335,59,38.42296117,28.12144137,36.31369231,28.58141272,36.48584051,36.4913105,2.976685206,2.972576619,0.093439108,0.093457188,1,1,0,0
37:48.4,2.825954071,59,38.46314373,28.16297751,36.3378973,28.62360213,36.51003451,36.51549956,2.976706282,2.972601408,0.093393492,0.093411558,1,1,0,0
37:49.0,2.868856079,59,38.42047372,30.17377433,36.30949702,28.75720643,36.48164712,36.48711797,2.976681552,2.972572321,0.093447013,0.093465095,1,1,0,0
37:49.5,2.922461285,59,38.47056057,30.22578837,36.3397041,28.80957811,36.51184049,36.51730517,2.976707854,2.972603258,0.093390086,0.093408151,1,1,0,0
37:50.1,2.9759333,59,38.52052683,30.27767496,36.36984224,28.86182175,36.54196497,36.54742349,2.976734089,2.972634115,0.093333276,0.093351326,1,1,0,0
37:50.6,3.029272399,59,38.57037272,30.32943435,36.39991158,28.91393762,36.57202067,36.57747306,2.976760255,2.972664892,0.093276584,0.093294617,1,1,0,0
37:51.2,3.082478857,59,38.40173689,28.72364439,36.14472795,28.78746678,36.31695287,36.32245742,2.976537945,2.972403409,0.093757311,0.093775483,1,1,0,0
37:51.7,3.111291278,59,38.42893906,28.75165779,36.16114928,28.81588458,36.33336674,36.33886792,2.976552267,2.972420255,0.093726403,0.093744565,1,1,0,0
37:52.3,3.140031384,59,38.45607423,28.77960155,36.17753129,28.8442318,36.34974131,36.35523914,2.976566554,2.972437059,0.093695564,0.093713718,1,1,0,0
37:52.8,3.168699337,59,38.48314255,28.80747582,36.19387408,28.8725086,36.36607667,36.37157116,2.976580804,2.97245382,0.093664796,0.093682941,1,1,0,0
37:53.4,3.197295303,59,38.93078378,28.98027877,36.2583381,28.97817321,36.43051142,36.43599272,2.976636989,2.972519905,0.093543396,0.093561506,1,1,0,0
37:53.9,3.237960652,59,38.96871369,29.01963216,36.2813372,29.01809665,36.45350008,36.45897669,2.976657026,2.972543473,0.09350007,0.093518168,1,1,0,0
37:54.5,3.278524632,59,39.00655129,29.0588886,36.30428259,29.0579219,36.47643505,36.48190697,2.976677011,2.97256698,0.093456838,0.093474923,1,1,0,0
37:55.0,3.318987463,59,39.04429678,29.09804829,36.32717435,29.09764917,36.49931643,36.50478367,2.976696945,2.972590427,0.0934137,0.093431773,1,1,0,0
37:55.6,3.359349365,59,39.0429797,31.06325093,36.20009515,29.29449212,36.37229492,36.37778813,2.976586227,2.972460199,0.093653083,0.093671225,1,1,0,0
37:56.1,3.417814775,59,39.0973875,31.12004796,36.233195,29.35150329,36.40537973,36.41086618,2.976615079,2.972494135,0.093590753,0.093608877,1,1,0,0
37:56.7,3.476134353,59,39.15166404,31.17670594,36.2662197,29.40837466,36.43838944,36.44386914,2.976643856,2.972527982,0.09352855,0.093546655,1,1,0,0
37:57.2,3.534308395,59,39.20580958,31.23322514,36.2991694,29.46510651,36.47132418,36.47679714,2.976672558,2.972561742,0.093466473,0.093484561,1,1,0,0
37:57.8,3.592337197,59,38.85123564,29.69041276,35.7555348,29.23081788,35.92793695,35.93352129,2.976197804,2.972003332,0.094488799,0.094507183,1,1,0,0
37:58.3,3.604978067,59,38.86324731,29.70280931,35.76286344,29.24337171,35.93526225,35.94084508,2.976204221,2.97201088,0.094475044,0.094493424,1,1,0,0
37:58.9,3.617586754,59,38.87522868,29.71517446,35.77017383,29.25589375,35.9425693,35.94815063,2.976210621,2.972018408,0.094461322,0.094479698,1,1,0,0
37:59.4,3.630163336,59,38.88717981,29.72750829,35.777466,29.26838409,35.94985815,35.95543798,2.976217005,2.972025917,0.094447633,0.094466006,1,1,0,0
38:00.0,3.642707891,59,38.86524941,25.826498,35.61244885,29.23337452,35.78491633,35.79053008,2.976072424,2.97185586,0.09475722,0.094775683,1,1,0,0
38:00.5,3.626485305,59,38.84986801,25.8107465,35.60306229,29.21728968,35.77553406,35.78114974,2.976064193,2.971846178,0.094774819,0.094793287,1,1,0,0
38:01.1,3.610303896,59,38.83452554,25.79503466,35.59369987,29.20124534,35.76617592,35.77179352,2.976055982,2.971836521,0.094792372,0.094810845,1,1,0,0
38:01.6,3.594163554,59,38.8192219,25.77936237,35.58436152,29.18524142,35.75684183,35.76246136,2.976047792,2.971826887,0.094809878,0.094828356,1,1,0,0
38:02.2,3.578064171,59,40.39778808,22.15869722,36.5010115,29.29782041,36.67307478,36.67850654,2.976848174,2.972768303,0.093085883,0.09310386,1,1,0,0
