timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
16:12.0,2.959572446,59,37.75730774,21.78992346,35.1767517,28.42117067,35.34941867,35.35512223,2.975689562,2.971405534,0.095572892,0.095591593,1,1,0,0
16:13.6,2.919246263,59,37.71913822,21.75126054,35.15363502,28.38157911,35.3263126,35.33202094,2.975669203,2.971381588,0.0956161,0.095634813,1,1,0,0
16:15.3,2.879021171,59,37.68106396,21.71269278,35.1305783,28.34208504,35.30326646,35.30897957,2.975648893,2.971357699,0.095659188,0.095677914,1,1,0,0
16:17.0,2.838896892,59,37.65372461,22.31155481,35.36946377,28.35270451,35.5420424,35.5477062,2.975859105,2.971604952,0.095212423,0.095231018,1,1,0,0
16:18.6,2.806402105,59,37.62283635,22.28028676,35.35082348,28.32070322,35.52341065,35.52907829,2.975842719,2.971585679,0.095247311,0.095265916,1,1,0,0
16:20.5,2.773988945,59,37.5920254,22.24909609,35.33223131,28.28878117,35.504827,35.51049847,2.975826373,2.971566453,0.095282104,0.09530072,1,1,0,0
16:22.1,2.741657192,59,37.56129156,22.21798259,35.31368711,28.25693814,35.4862913,35.49196659,2.975810066,2.971547273,0.095316804,0.095335429,1,1,0,0
16:23.8,2.709406623,59,37.59366579,22.47350563,35.39880672,28.25509077,35.57137191,35.57702966,2.975884892,2.971635283,0.095157494,0.095176073,1,1,0,0
16:25.4,2.68260797,59,37.56816102,22.44765417,35.38342934,28.22863766,35.55600158,35.56166249,2.975871379,2.971619389,0.095186281,0.095204868,1,1,0,0
16:27.1,2.65587667,59,37.54272014,22.42186687,35.36809147,28.20225024,35.54067073,35.54633481,2.975857898,2.971603533,0.095214991,0.095233587,1,1,0,0
16:28.8,2.629212543,59,37.51734299,22.39614356,35.352793,28.17592833,35.52537927,35.5310465,2.975844451,2.971587716,0.095243625,0.095262229,1,1,0,0
16:30.4,2.60261541,59,37.84180387,27.75658766,35.85289085,28.28128161,36.02524861,36.03081295,2.976283012,2.972103555,0.094306009,0.09432434,1,1,0,0
16:32.1,2.626201839,59,37.8641529,27.77954263,35.86635086,28.30459586,36.03870248,36.04426407,2.976294786,2.972117403,0.094280727,0.094299051,1,1,0,0
16:33.7,2.649729116,59,37.88644677,27.80244051,35.87977841,28.32785217,36.05212391,36.05768274,2.97630653,2.972131217,0.094255504,0.094273821,1,1,0,0
16:35.4,2.67319738,59,37.90868562,27.82528141,35.89317356,28.35105067,36.06551296,36.07106904,2.976318244,2.972144995,0.09423034,0.094248649,1,1,0,0
