,J_CT3,J_CT6,J_CT5,J2a_15,J1_70,J1_40,J1_50,J1_51,J1_60,J1_61,J2c_12,J2c_14,Jb_53,J2c_11,J2c_13,J2a_20,J2a_30,J2a_33,J2a_23,J2a_41,J_CT1,J_CT2,J1_11,J1_30,J2b_21,J2b_40,J2b_30,J2b_31,J2b_50,J2b_41,J2c_10,J_CT4,J2b_10,J1_10,J1_20,J2a_31,J2a_32,J2a_21,J2a_22,J1-CLin,J2a_40,J1-MPA,J1_33,J1_31,RWtank_Top,J1_34,J2a_10,J2a_12,J2a_13,J2a_14,ER2_Top,ER1_Top,J2b_11,J2b_12,J2b_14,J2b_Leak,J2b_15,J2b_20,J2b_51,J2b_52,J2a_11,J1_32,SWaT,PUB,T1,T2,T0
0,0.24410473,0.24410473,0.24367628,1.7144958,0.93449575,1.5929288,1.5929288,0.93449575,1.5929288,0.93449575,0.24410473,0.044104733,0.024104733,0.24413177,0.24410473,0.23449573,0.23449573,1.5264188,1.5262794,1.525927,0.24374183,0.24367628,1.0629287,0.9029287,0.35297397,1.652974,1.652974,1.7441047,0.44410473,1.7441047,0.24417043,0.24374183,0.945927,9.2,4.04,0.046613738,1.3464189,0.22128825,1.5212883,1.6429287,1.5260872,1.6429287,1.6429287,1.6429287,-0.50707126,1.5929288,1.6344957,1.9344957,1.7144958,1.7144958,-0.6033863,-0.42871174,1.5249101,0.824821,0.82451445,0.82471645,0.11440719,1.432974,1.5241047,1.5241047,1.6344957,1.6429287,7.6293944e-08,3.8146972e-08,0.32128826,0.14661373,0.56292874
60,0.24119997,0.24119997,0.24077325,1.418371,0.63837093,1.592929,1.592929,0.63837093,1.592929,0.63837093,0.24119997,0.041199967,0.02119997,0.24122685,0.24119997,-0.061629076,-0.061629076,1.523504,1.5233654,1.5230144,0.24083851,0.24077325,1.062929,0.902929,0.35021934,1.6502193,1.6502193,1.7412,0.44119996,1.7412,0.24126522,0.24083851,0.9430144,9.2,4.04,0.043698218,1.3435041,0.22128825,1.5212883,1.6429291,1.5231739,1.6429291,1.6429291,1.6429291,-0.50707096,1.592929,1.3383709,1.6383709,1.418371,1.418371,-0.6063018,-0.42871174,1.5220019,0.821913,0.82160795,0.82180893,0.11150111,1.4302193,1.5212,1.5212,1.3383709,1.6429291,7.6293944e-08,3.8146972e-08,0.32128826,0.14369822,0.56292903
120,0.23833765,0.23833765,0.23791878,1.5198736,0.7398736,1.5929291,1.5929291,0.7398736,1.5929291,0.7398736,0.23833765,0.038337644,0.018337645,0.23836395,0.23833765,0.039873596,0.039873596,1.5205989,1.5204628,1.5201184,0.23798302,0.23791878,1.0629292,0.9029292,0.5671632,1.8671632,1.8671632,1.7383376,0.43833765,1.7383376,0.23840174,0.23798302,0.9401184,9.2,4.04,0.04078953,1.3405988,0.22128825,1.5212883,1.6429292,1.5202749,1.6429292,1.6429292,1.6429292,-0.50707084,1.5929291,1.4398736,1.7398736,1.5198736,1.5198736,-0.6092105,-0.42871174,1.5191245,0.81903744,0.8187379,0.81893545,0.10863312,1.6471632,1.5183376,1.5183376,1.4398736,1.6429292,7.6293944e-08,3.8146972e-08,0.32128826,0.14078952,0.56292915
180,0.23547155,0.23547155,0.235055,1.5327102,0.75271016,1.5929294,1.5929294,0.75271016,1.5929294,0.75271016,0.23547155,0.03547154,0.015471539,0.23549785,0.23547155,0.052710168,0.052710168,1.5177206,1.517585,1.5172426,0.2351188,0.235055,1.0629293,0.9029293,0.3447784,1.6447784,1.6447784,1.7354715,0.43547153,1.7354715,0.23553534,0.2351188,0.9372425,9.2,4.04,0.037910055,1.3377205,0.22128825,1.5212883,1.6429293,1.5173984,1.6429293,1.6429293,1.6429293,-0.50707066,1.5929294,1.4527102,1.7527102,1.5327102,1.5327102,-0.61208993,-0.42871174,1.5162542,0.8161676,0.81586975,0.81606597,0.10576542,1.4247783,1.5154716,1.5154716,1.4527102,1.6429293,7.6293944e-08,3.8146972e-08,0.32128826,0.13791005,0.56292933
240,0.23262288,0.23262288,0.23221026,1.5982796,0.81827956,1.5929295,1.5929295,0.81827956,1.5929295,0.81827956,0.23262288,0.032622878,0.012622876,0.2326489,0.23262288,0.11827957,0.11827957,1.5148512,1.5147171,1.5143777,0.23227347,0.23221026,1.0629295,0.9029295,0.34207448,1.6420745,1.6420745,1.7326229,0.43262288,1.7326229,0.2326861,0.23227347,0.93437773,9.2,4.04,0.035039008,1.3348513,0.22128825,1.5212883,1.6429294,1.5145321,1.6429294,1.6429294,1.6429294,-0.50707054,1.5929295,1.5182796,1.8182796,1.5982796,1.5982796,-0.61496097,-0.42871174,1.5133984,0.81331253,0.8130175,0.8132119,0.10291414,1.4220744,1.5126228,1.5126228,1.5182796,1.6429294,7.6293944e-08,3.8146972e-08,0.32128826,0.135039,0.56292945
300,0.22976579,0.22976579,0.22935301,1.5386394,0.75863945,1.5929297,1.5929297,0.75863945,1.5929297,0.75863945,0.22976579,0.029765783,0.009765783,0.2297918,0.22976579,0.058639456,0.058639456,1.5119946,1.5118603,1.5115209,0.2294161,0.22935301,1.0629297,0.9029297,0.25368643,1.5536864,1.5536864,1.7297658,0.4297658,1.7297658,0.22982886,0.2294161,0.9315209,9.2,4.04,0.03218235,1.3319945,0.22128825,1.5212883,1.6429298,1.5116751,1.6429298,1.6429298,1.6429298,-0.50707024,1.5929297,1.4586395,1.7586395,1.5386394,1.5386394,-0.61781764,-0.42871174,1.5105413,0.81045556,0.8101604,0.8103548,0.10005704,1.3336865,1.5097657,1.5097657,1.4586395,1.6429298,7.6293944e-08,3.8146972e-08,0.32128826,0.13218234,0.56292975
360,0.22690941,0.22690941,0.22649665,1.5573751,0.7773751,1.5929298,1.5929298,0.7773751,1.5929298,0.7773751,0.22690941,0.026909417,0.006909417,0.22693528,0.22690941,0.077375084,0.077375084,1.5091375,1.5090033,1.508664,0.22655988,0.22649665,1.0629299,0.9029299,0.30277905,1.602779,1.602779,1.7269094,0.42690942,1.7269094,0.22697249,0.22655988,0.92866397,9.2,4.04,0.029325258,1.3291374,0.22128825,1.5212883,1.6429299,1.5088183,1.6429299,1.6429299,1.6429299,-0.5070701,1.5929298,1.477375,1.7773751,1.5573751,1.5573751,-0.6206747,-0.42871174,1.5076848,0.8075989,0.80730385,0.80749834,0.097200535,1.382779,1.5069094,1.5069094,1.477375,1.6429299,7.6293944e-08,3.8146972e-08,0.32128826,0.12932526,0.56292987
420,0.2240545,0.2240545,0.22364217,1.6849289,0.9049289,1.5929301,1.5929301,0.9049289,1.5929301,0.9049289,0.2240545,0.024054505,0.004054504,0.22408052,0.2240545,0.20492893,0.20492893,1.5062811,1.5061469,1.5058079,0.22370525,0.22364217,1.06293,0.90293,0.42262045,1.7226205,1.7226205,1.7240545,0.4240545,1.7240545,0.22411758,0.22370525,0.9258079,9.2,4.04,0.026468746,1.3262811,0.22128825,1.5212883,1.64293,1.5059621,1.64293,1.64293,1.64293,-0.50706995,1.5929301,1.604929,1.9049289,1.6849289,1.6849289,-0.6235313,-0.42871174,1.5048294,0.8047436,0.80444866,0.80464315,0.09434547,1.5026205,1.5040545,1.5040545,1.604929,1.64293,7.6293944e-08,3.8146972e-08,0.32128826,0.12646875,0.56293005
480,0.22124028,0.22124028,0.22083507,1.6643561,0.8843561,1.5929302,1.5929302,0.8843561,1.5929302,0.8843561,0.22124028,0.021240287,0.0012402863,0.22126587,0.22124028,0.18435606,0.18435606,1.5034288,1.503297,1.5029638,0.22089714,0.22083507,1.0629302,0.9029302,0.33128053,1.6312805,1.6312805,1.7212403,0.4212403,1.7212403,0.22130235,0.22089714,0.92296374,9.2,4.04,0.023613252,1.3234289,0.22128825,1.5212883,1.6429302,1.5031152,1.6429302,1.6429302,1.6429302,-0.5070698,1.5929302,1.5843561,1.884356,1.6643561,1.6643561,-0.62638676,-0.42871174,1.5020019,0.80191755,0.80162776,0.8018187,0.091526315,1.4112805,1.5012403,1.5012403,1.5843561,1.6429302,7.6293944e-08,3.8146972e-08,0.32128826,0.12361325,0.56293017
540,0.21846953,0.21846953,0.2180742,1.5241286,0.7441286,1.5929304,1.5929304,0.7441286,1.5929304,0.7441286,0.21846953,0.018469526,-0.0015304749,0.21849439,0.21846953,0.04412857,0.04412857,1.5006043,1.5004758,1.5001507,0.21813466,0.2180742,1.0629305,0.9029305,0.328642,1.628642,1.628642,1.7184695,0.41846952,1.7184695,0.21852998,0.21813466,0.9201507,9.2,4.04,0.020784209,1.3206043,0.22128825,1.5212883,1.6429305,1.5002984,1.6429305,1.6429305,1.6429305,-0.5070695,1.5929304,1.4441285,1.7441286,1.5241286,1.5241286,-0.6292158,-0.42871174,1.4992125,0.79913026,0.79884744,0.79903376,0.08874843,1.408642,1.4984695,1.4984695,1.4441285,1.6429305,7.6293944e-08,3.8146972e-08,0.32128826,0.12078421,0.56293046
